Dataset,AutoWeka,TPot,SmartML(Train),SmartML,Receipe,AutoSkLearn,AutoSkLearn - Vanilla,AutoSkLearn - Vanilla + MetaLearning,AutoSkLearn - Vanilla + Ensembling
aaaData_for_UCI_named,1,1,,1,NA,1,1,1,1
AirlinesCodrnaAdult,NA,NA,,NA,NA,0.78569493349157,0.78569493349157,0.78569493349157,0.78569493349157
Amazon,NA,NA,,0.296,0.78549,0.734612852154152,0.602315951916447,0.633787074940484,0.644694002577093
analcatdata_authorship,1,0.995262751228572,,0.995260663507109,NA,1,0.995262751228572,1,0.995262751228572
AP_Breast_Lung,NA,NA,,0.898305084745763,0.882585,0.974461759999521,0.940410773332216,0.948681229040152,0.957807303594727
AP_Omentum_Ovary,NA,NA,,0.347826086956522,0.785369,0.806754235940633,0.75170883866536,0.729752770673487,0.785051478785494
AP_Prostate_Ovary,1,NA,,0.835820895522388,0.970934,0.984844584417363,0.985281277930183,0.984844584417363,1
arrhythmia,0.802899283607248,NA,,0.663716814159292,0.627824,0.820045828065739,0.71091811323599,0.874032079646018,0.865335115491899
audiology,0.926444017019292,0.964160401002506,,0.87719298245614,0.928321,0.964160401002506,0.947840982928702,0.945574890573289,0.929824561403509
avila-tr,0.798213884582402,NA,,0.998466551658041,NA,0.998657332568694,0.984458332466538,0.997695614052095,0.984268894440065
churn,0.929922743148634,0.957990804815622,,0.9296,0.955786,0.949404444444444,0.94461853307785,0.94461853307785,0.94461853307785
cifar-10,NA,NA,,0.4356,0.266714,NA,NA,NA,NA
connect-4,0.653940022047221,NA,,0.838247483718176,0.720975,0.769915130849022,0.769915130849022,0.790156897621073,0.769915130849022
CovPokElec,NA,NA,,NA,NA,0.27390982010643,0.499987944106733,0.27390982010643,0.27390982010643
dataset_183_adult,0.839809865038709,NA,,0.80967979690443,0.837254,0.830995951794427,0.841679804850964,0.851885636075887,0.850470579056342
dataset_185_yeast,0.563490516551887,0.578648463014001,,0.560646900269542,0.520491,0.570067391638131,0.571722113034842,0.595235956616779,0.586254917960264
dataset_186_satimage,0.912255893805034,NA,,0.846393034825871,0.916861,0.91245299362,0.901661930330953,0.907420812523972,0.901547678971217
dataset_187_abalone,0.234453398333666,NA,,0.25933014354067,NA,0.24264848093142,0.232093973065747,0.238982484468544,0.212340005631901
dataset_189_baseball,0.919208646423057,0.906367590618337,,0.934328358208955,NA,0.920701970608985,0.926095307044472,0.916038648589378,0.910077592957312
dataset_194_eucalyptus,0.612863527171208,0.723750150159192,,0.684782608695652,0.350916,0.687868955326855,0.699942773088083,0.620178300038805,0.641169304701963
dataset_24_mushroom,0.988180891550752,NA,,1,1,1,1,1,0.999015258164904
dataset_26_nursery,0.98564789204557,0.774138529981897,,0.997530864197531,NA,0.999537961114807,0.991199688416763,0.999537961114807,0.998305719792434
dataset_28_optdigits,0.983600014414803,NA,,0.972953736654804,0.985784,0.98791018733438,0.968635490476345,0.975191421174273,0.981513708593416
dataset_31_credit-g,0.70736,0.766506666666667,,0.7,0.675038,0.737643323996265,0.759834851244687,0.737643323996265,0.742285956573163
dataset_36_segment,0.977561379124076,0.977645589645796,,0.958477508650519,,0.981041447934582,0.984516737715117,0.977684649290099,0.979389230611532
dataset_39_ecoli,0.916326530612245,0.928571428571429,,0.892857142857143,0.326878,0.884447796212502,0.90411720243653,0.911302982731554,0.918043166633742
dataset_40_sonar,0.843356643356643,0.807119963369964,,0.903846153846154,0.312188,0.826730982668829,0.749722530521643,0.788226756595236,0.825954001205961
dataset_42_soybean,0.943985250977406,0.865507025650964,,0.60233918128655,NA,0.901471210493767,0.893176905708234,0.885952554878493,0.89822183194234
dataset_44_spambase,0.944102395392005,0.959934300727068,,0.960034752389227,0.954767,0.956411467210535,0.957233914728277,0.957292872722601,0.95805648651594
dataset_54_vehicle,0.685147059381593,0.879816523448599,,0.839622641509434,0.565659,0.802478798566875,0.747579029580861,0.823976223052851,0.798648160268948
dataset_59_ionosphere,0.94198833181884,0.965515453897492,,0.920454545454545,NA,0.91790974763111,0.930024972105626,0.953814002089864,0.91790974763111
dataset_6_letter,0.935102858490976,NA,,0.9558,NA,0.962204825793825,0.951016616504064,0.95763442581753,0.947597578223566
dataset_60_waveform-5000,0.861602606873434,NA,,0.856,0.868353,0.861325721127342,0.86632169469382,0.867048630279826,0.864515543134168
dataset_61_iris,0.94679388529804,0.973952283084622,,0.973684210526316,0.712126,0.973952283084622,0.973952283084622,0.973952283084622,0.948245614035088
dataset_9_autos,0.792271348722962,0.843255932708265,,0.134615384615385,NA,0.693044589818783,0.71143648018648,0.728799935696487,0.802897571273252
devnagari,NA,NA,,0.720130434782609,0.585798,0.885981028532048,0.885981028532048,0.885981028532048,0.885981028532048
electricity-normalized,0.735341761273816,NA,,0.911987994350282,0.796524,0.915448901762858,0.904927074777391,0.915295444567895,0.890120829455853
eye_movements,0.384283167633142,NA,,0.698610095098756,0.756364,0.703431549016153,0.644833060972863,0.690972449529884,0.654172263522422
GCM,NA,NA,,0.708333333333333,NA,0.756765176830966,0.568010461760462,0.722486772486773,0.50719696969697
gina_agnostic,0.888071892667917,NA,,0.844290657439446,NA,0.953868448654526,0.943480261795554,0.951561871087252,0.931959044464161
hiva_agnostic,0.957690586697854,NA,,0.963137996219282,0.960656,0.950387313182922,0.956673478163312,0.956673478163312,0.959131981733813
ipums_la_99-small,0.789178505522229,NA,,0.930800542740841,NA,0.910214952234898,0.9009238441755,0.9009238441755,0.906783352586
jm1,0.767502742051614,0.79092552508776,,0.695077149155033,NA,0.768515776304096,0.776407426663971,0.774989275768257,0.775694928044272
jungle_chess_2pcs,1,1,,1,1,0.999145326446326,0.993954401100227,0.999145326446326,0.991109047991648
KDDCup99,NA,NA,,NA,0.41751,0.999580623134871,0.999580623134871,0.999620248951878,0.999580623134871
kin8nm,0.785081476868106,0.864232381316164,,0.85498046875,0.339651,0.895007616698388,0.859406427432179,0.888681021815502,0.835996081442974
leukemia,1,NA,,0.944444444444444,0.820606,1,0.884259259259259,1,0.943515421776291
lymphoma_2classes,0.751748251748252,NA,,0.833333333333333,0.208333,0.666666666666667,0.744755244755245,0.833333333333333,0.751748251748252
MagicTelescope,0.828834594774383,NA,,0.867718191377497,NA,0.882574384227864,0.868786286529963,0.883508309112859,0.86747166033135
mfeat-pixel,0.995961861819548,0.993913148628943,,0.97,0.993913,0.993913148628943,0.991843708101896,0.995961861819548,0.993913148628943
mnist_784,NA,NA,,0.927085714285714,0.906039,0.964158997468952,0.964158997468952,0.964158997468952,0.973409371963387
openml_phpJNxH0q,NA,0.947925365585726,,0.965714285714286,0.960089,0.965376623376623,0.982817455872234,0.971362426453722,0.97703481392557
