Dataset,AutoWeka,TPot,SmartML,Receipe,AutoSkLearn,AutoSkLearn - Vanilla,AutoSkLearn - Vanilla + MetaLearning,AutoSkLearn - Vanilla + Ensembling
aaaData_for_UCI_named,1,1,1,NA,1,1,1,1
AirlinesCodrnaAdult,0.651959859971485,NA,NA,NA,0.786862486493364,0.805051841022727,0.78569493349157,0.79573526960948
Amazon,0.517048465764255,NA,0.296,NA,0.801591028334423,0.744843390815672,0.745376391272986,0.810955815987406
analcatdata_authorship,0.995258153376116,0.995258153376116,0.995260663507109,0.990536,1,1,0.995258153376116,0.995258153376116
AP_Breast_Lung,NA,0.974461759999521,0.898305084745763,0.965787,0.966101694915254,0.966101694915254,0.940410773332216,0.974461759999521
AP_Omentum_Ovary,NA,0.785368783498159,0.347826086956522,0.772678,0.785051478785494,0.802709602203059,0.884057971014493,0.877172273591711
AP_Prostate_Ovary,0.970149253731343,0.984844584417363,0.835820895522388,0.719378,1,1,0.96917684305744,0.984844584417363
arrhythmia,0.811469161688658,0.874032079646018,0.663716814159292,0.4198,0.864710612467459,0.777117073000105,0.847379797557485,0.874032079646018
audiology,0.926444017019292,0.928320802005012,0.929824561403509,0.928321,0.964912280701754,0.964912280701754,0.914374543954824,0.931011351909185
avila-tr,0.999457401687531,NA,0.998083189572551,0.949632,0.998465350073657,0.998689502601072,0.997690034908405,0.998464803984325
churn,0.937636853927229,0.961351540430372,0.9064,0.955786,0.956947217082015,0.94461853307785,0.957862739140019,0.950661333333334
cifar-10,NA,NA,0.3648,NA,NA,NA,NA,NA
connect-4,0.653940022047221,NA,0.835701598579041,0.732334,0.815185473483716,0.771017844076386,0.816034570032179,0.796864245134218
CovPokElec,NA,NA,NA,NA,0.510136221123006,0.783631067199708,0.30283948550816,0.755085679633902
dataset_183_adult,0.839809865038709,0.853293755293109,0.822291376627631,NA,0.797933070800053,0.849510352077522,0.851885636075887,0.852172274724334
dataset_185_yeast,0.58147725760603,0.582273210669019,0.601078167115903,0.458501,0.593610119212991,0.585479509655299,0.578466372306569,0.590207856581122
