,sklearn_accuracy_mean,sklearn_f1_score_mean,sklearn_model_1,sklearn_precision_mean,sklearn_recall_mean,sklearn_time_mean,sklearn_e_accuracy_mean,sklearn_e_f1_score_mean,sklearn_e_model_1,sklearn_e_precision_mean,sklearn_e_recall_mean,sklearn_e_time_mean,sklearn_m_accuracy_mean,sklearn_m_f1_score_mean,sklearn_m_model_1,sklearn_m_precision_mean,sklearn_m_recall_mean,sklearn_m_time_mean,sklearn_v_accuracy_mean,sklearn_v_f1_score_mean,sklearn_v_model_1,sklearn_v_precision_mean,sklearn_v_recall_mean,sklearn_v_time_mean,autoweka_accuracy_mean,autoweka_f1_score_mean,autoweka_model_1,autoweka_precision_mean,autoweka_recall_mean,autoweka_time_mean,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_mean,tpot_f1_score_mean,tpot_model_1,tpot_precision_mean,tpot_recall_mean,tpot_time_mean
AP_Breast_Lung,0.9689265536723164,0.9688883832766764,decision_tree,0.9689074191566712,0.9689265536723164,,0.96045197740113,0.9602948729568868,libsvm_svc,0.9603616476152936,0.96045197740113,,0.9661016949152542,0.9660253541239744,gradient_boosting,0.9660634258839642,0.9661016949152542,,0.9435028248587572,0.943876231317522,decision_tree,0.944658796870455,0.9435028248587572,,0.0,0.0,None,0.0,0.0,,0.9528301886792453,0.9530957372466806,0.9528301886792453,0.951940192239231,1.0,1.0,1.0,1.0,0.8898305084745762,0.8975526509715704,0.8898305084745762,0.8825852150497444,randomForest,1,"0.822033898305085
",,,None,,,
AP_Omentum_Ovary,0.8260869565217392,0.8161450370033122,extra_trees,0.8265940840143292,0.8260869565217392,,0.8164251207729469,0.7984864136764602,sgd,0.8187364341419341,0.8164251207729469,,0.7391304347826088,0.7297527706734868,extra_trees,0.7257998359310912,0.7391304347826088,,0.7874396135265699,0.757019741887602,random_forest,0.7948468860109809,0.7874396135265699,,0.0,0.0,None,0.0,0.0,,0.8225806451612904,0.8261241446725317,0.8225806451612904,0.8241184694247399,1.0,1.0,1.0,1.0,0.8115942028985508,0.8257648953301128,0.8115942028985508,0.7853687834981592,,,,,,None,,,
AP_Prostate_Ovary,0.9900497512437808,0.9898963896115752,multinomial_nb,0.9902306648575306,0.9900497512437808,,0.9900497512437808,0.9898963896115752,extra_trees,0.9902306648575306,0.9900497512437808,,0.9900497512437808,0.9900419541158486,gaussian_nb,0.9904955740776636,0.9900497512437808,,0.985074626865672,0.984673809158268,passive_aggressive,0.9855204496995541,0.985074626865672,,1.0,1.0,meta.Vote,1.0,1.0,,0.9833333333333333,0.9842592592592593,0.9833333333333333,0.9834733893557422,1.0,1.0,1.0,1.0,0.9701492537313433,0.9741293532338309,0.9701492537313433,0.9709337409985116,,,,,,None,,,
AirlinesCodrnaAdult,0.7870600821700012,0.7872791105682385,random_forest,0.7876431488958077,0.7870600821700012,,0.7868780600153048,0.7870621017252354,random_forest,0.7873383340652366,0.7868780600153048,,0.7868780600153048,0.7870621017252354,random_forest,0.7873383340652366,0.7868780600153048,,0.786878060015305,0.7870621017252349,random_forest,0.787338334065237,0.786878060015305,,0.0,0.0,None,0.0,0.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,None,,,
Amazon,0.7813333333333334,0.7707766817137301,liblinear_svc,0.8158997483997483,0.7813333333333334,,0.6426666666666666,0.6365896969951638,random_forest,0.6921121521753101,0.6426666666666666,,0.6337777777777778,0.6232967005991387,random_forest,0.6622869821536489,0.6337777777777778,,0.657777777777778,0.649239115590043,liblinear_svc,0.6842176280509611,0.657777777777778,,0.0,0.0,None,0.0,0.0,,0.7603550295857988,0.8025324938046833,0.7603550295857988,0.761326888102036,1.0,1.0,1.0,1.0,0.784,0.8406906204906204,0.784,0.7854902142004309,c50,0.397333333333333,"0.213333333333333
",,,None,,,
CovPokElec,0.444833764791883,0.27390982010643,None,0.1978770782989204,0.444833764791883,,0.612200292036063,0.4981263886572374,None,0.4473819878221874,0.612200292036063,,0.444833764791883,0.27390982010643,None,0.1978770782989204,0.444833764791883,,0.44806191750805696,0.331398990079588,qda,0.300667617295224,0.44806191750805696,,0.0,0.0,None,0.0,0.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,None,,,
GCM,0.75,0.7433201058201058,random_forest,0.8072916666666666,0.75,,0.7291666666666666,0.7250992063492064,liblinear_svc,0.8159722222222222,0.7291666666666666,,0.7291666666666666,0.7224867724867726,libsvm_svc,0.7864583333333334,0.7291666666666666,,0.8125,0.8139880952380952,adaboost,0.8538194444444445,0.8125,,0.0,0.0,None,0.0,0.0,,,,,,,,,,,,,,svm,0.782608695652174,"0.604166666666667
",,,None,,,
KDDCup99,0.9996518359580584,0.9996128664945596,random_forest,0.9995942456937472,0.9996518359580584,,0.999616749659258,0.9995785144921248,random_forest,0.9995633243021246,0.999616749659258,,0.9996329433356276,0.99959383174054,random_forest,0.9995777338589446,0.9996329433356276,,0.99961944860532,0.999580623134871,random_forest,0.999563965632071,0.99961944860532,,0.0,0.0,None,0.0,0.0,,0.9994602132157797,0.9994437006972389,0.9994602132157797,0.9994380053410873,0.9999946021078768,0.9999946050752804,0.9999946021078768,0.9999945985801817,0.4163070321039634,0.4188310124919002,0.4163070321039634,0.41751023344667804,svm,0.999916047517105,"0.998631634346788
",,,None,,,
MagicTelescope,0.8853838065194533,0.8831647138159633,gradient_boosting,0.8857982512050642,0.8853838065194533,,0.8689800210304942,0.8659423543304212,random_forest,0.8693864182959116,0.8689800210304942,,0.8849631966351209,0.8835083091128588,gradient_boosting,0.8843172035703285,0.8849631966351209,,0.8715036803364878,0.8687862865299631,random_forest,0.8716140199737189,0.8715036803364878,,0.833228181,0.828834595,trees.RandomForest,0.8320568490000001,0.833228181,,,,,,,,,,,,,,randomForest,0.994041359971959,"0.879495268138801
",,,None,,,
aaaData_for_UCI_named,1.0,1.0,decision_tree,1.0,1.0,,1.0,1.0,gradient_boosting,1.0,1.0,,1.0,1.0,adaboost,1.0,1.0,,1.0,1.0,decision_tree,1.0,1.0,,1.0,1.0,trees.RandomForest,1.0,1.0,,,,,,,,,,,,,,randomForest,1,"1
",1.0,1.0,None,1.0,1.0,
