,dataset,sklearn_accuracy_mean,sklearn_f1_score_mean,sklearn_precision_mean,sklearn_recall_mean,sklearn_time_mean,sklearn_e_accuracy_mean,sklearn_e_f1_score_mean,sklearn_e_precision_mean,sklearn_e_recall_mean,sklearn_e_time_mean,sklearn_m_accuracy_mean,sklearn_m_f1_score_mean,sklearn_m_precision_mean,sklearn_m_recall_mean,sklearn_m_time_mean,sklearn_v_accuracy_mean,sklearn_v_f1_score_mean,sklearn_v_precision_mean,sklearn_v_recall_mean,sklearn_v_time_mean,autoweka_accuracy_mean,autoweka_f1_score_mean,autoweka_precision_mean,autoweka_recall_mean,autoweka_time_mean,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_mean,tpot_f1_score_mean,tpot_precision_mean,tpot_recall_mean,tpot_time_mean
9,aaaData_for_UCI_named,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,randomForest,1.0,"1
",1.0,1.0,1.0,1.0,
3,AirlinesCodrnaAdult,0.7870600821700012,0.7872791105682385,0.7876431488958077,0.7870600821700012,,0.7868780600153048,0.7870621017252354,0.7873383340652366,0.7868780600153048,,0.7868780600153048,0.7870621017252354,0.7873383340652366,0.7868780600153048,,0.786878060015305,0.7870621017252349,0.787338334065237,0.786878060015305,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
4,Amazon,0.7813333333333334,0.7707766817137301,0.8158997483997483,0.7813333333333334,,0.6426666666666666,0.6365896969951638,0.6921121521753101,0.6426666666666666,,0.6337777777777778,0.6232967005991387,0.6622869821536489,0.6337777777777778,,0.657777777777778,0.649239115590043,0.6842176280509611,0.657777777777778,,0.0,0.0,0.0,0.0,,0.7603550295857988,0.8025324938046833,0.7603550295857988,0.7613268881020359,1.0,1.0,1.0,1.0,0.784,0.8406906204906204,0.784,0.7854902142004309,c50,0.3973333333333329,"0.213333333333333
",,,,,
10,analcatdata_authorship,1.0,1.0,1.0,1.0,,0.995260663507109,0.995262751228572,0.9953274147253188,0.995260663507109,,1.0,1.0,1.0,1.0,,0.995260663507109,0.9952581533761158,0.9953184602936076,0.995260663507109,,0.9952606635071092,0.9952581533761158,0.9953184602936076,0.995260663507109,,,,,,,,,,,,,,knn,1.0,"0.995260663507109
",0.995260663507109,0.9952581533761158,0.9953184602936076,0.995260663507109,
0,AP_Breast_Lung,0.9689265536723164,0.9688883832766764,0.9689074191566712,0.9689265536723164,,0.9604519774011301,0.9602948729568868,0.9603616476152936,0.9604519774011301,,0.9661016949152542,0.9660253541239744,0.9660634258839642,0.9661016949152542,,0.9435028248587572,0.943876231317522,0.944658796870455,0.9435028248587572,,0.0,0.0,0.0,0.0,,0.9528301886792452,0.9530957372466806,0.9528301886792452,0.951940192239231,1.0,1.0,1.0,1.0,0.8898305084745762,0.8975526509715704,0.8898305084745762,0.8825852150497444,randomForest,1.0,"0.822033898305085
",,,,,
1,AP_Omentum_Ovary,0.8260869565217392,0.8161450370033122,0.8265940840143292,0.8260869565217392,,0.8164251207729469,0.7984864136764602,0.8187364341419341,0.8164251207729469,,0.7391304347826088,0.7297527706734868,0.7257998359310912,0.7391304347826088,,0.7874396135265699,0.757019741887602,0.7948468860109809,0.7874396135265699,,0.0,0.0,0.0,0.0,,0.8225806451612904,0.8261241446725317,0.8225806451612904,0.8241184694247399,1.0,1.0,1.0,1.0,0.8115942028985508,0.8257648953301128,0.8115942028985508,0.7853687834981592,,,,,,,,
2,AP_Prostate_Ovary,0.9900497512437808,0.9898963896115752,0.9902306648575306,0.9900497512437808,,0.9900497512437808,0.9898963896115752,0.9902306648575306,0.9900497512437808,,0.9900497512437808,0.9900419541158486,0.9904955740776636,0.9900497512437808,,0.985074626865672,0.984673809158268,0.985520449699554,0.985074626865672,,1.0,1.0,1.0,1.0,,0.9833333333333332,0.9842592592592592,0.9833333333333332,0.9834733893557422,1.0,1.0,1.0,1.0,0.9701492537313432,0.9741293532338308,0.9701492537313432,0.9709337409985116,,,,,,,,
11,arrhythmia,0.831858407079646,0.8286334424587809,0.8567253039787035,0.831858407079646,,0.8230088495575221,0.8181304667842044,0.8591709361900326,0.8230088495575221,,0.8141592920353983,0.8114691616886585,0.8313968188633758,0.8141592920353983,,0.8672566371681416,0.865868746166652,0.8815402857308116,0.8672566371681416,,0.8053097345132744,0.8028992836072482,0.8194060652698589,0.8053097345132744,,,,,,,,,,,,,,naiveBayes,0.702064896755162,"0.654867256637168
",0.8230088495575221,0.8200458280657394,0.8438240059827994,0.8230088495575221,
12,audiology,0.9473684210526316,0.9468365823224988,0.94703425229741,0.9473684210526316,,0.9298245614035088,0.9310113519091848,0.9347728295096716,0.9298245614035088,,0.9473684210526316,0.9455748905732893,0.9509569377990428,0.9473684210526316,,0.9473684210526316,0.9455748905732893,0.9509569377990428,0.9473684210526316,,0.9298245614035088,0.9264440170192924,0.9360623781676412,0.9298245614035088,,,,,,,,,,,,,,svm,1.0,"0.894736842105263
",0.9473684210526316,0.9468365823224988,0.94703425229741,0.9473684210526316,
13,avila-tr,0.9975081464443166,0.9975004211581192,0.9975176079433636,0.9975081464443166,,0.9965497412305924,0.9965776678659644,0.9966723220510862,0.9965497412305924,,0.9988499137435308,0.9988488377681072,0.9988555266734706,0.9988499137435308,,0.993866206632164,0.9938646718636484,0.9938930623454678,0.993866206632164,,0.8033352501437608,0.7982138845824017,0.8043847498846879,0.8033352501437608,,,,,,,,,,,,,,c50,1.0,"0.998466551658041
",,,,,
