region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,class
31,96,9,0.0,0.0,2.33333,3.6,2.77778,6.16296,3.7777800000000004,1.0,8.0,2.33333,-8.33333,12.6667,-4.33333,8.0,0.909236,-2.26821,foliage
168,70,9,0.0,0.0,0.833333,0.611112,0.388889,0.10740799999999999,55.037,51.5556,64.8889,48.6667,-10.4444,29.5556,-19.1111,64.8889,0.249829,-1.9079599999999999,cement
65,176,9,0.0,0.0,2.88889,1.4707,1.5,1.16905,49.7407,45.2222,61.0,43.0,-13.5556,33.7778,-20.2222,61.0,0.29478699999999997,-1.9657,path
204,12,9,0.0,0.0,0.777777,0.518519,1.77778,0.785183,127.444,115.556,143.111,123.667,-35.6667,47.0,-11.3333,143.111,0.19252,-2.40292,sky
99,132,9,0.0,0.0,0.44444399999999995,0.385185,0.555555,0.785185,0.740741,0.11111099999999999,2.0,0.11111099999999999,-1.8888900000000002,3.7777800000000004,-1.8888900000000002,2.0,0.981482,-2.0944,foliage
72,118,9,0.0,0.0,0.277778,0.0629629,0.555556,0.11851800000000001,5.48148,6.555560000000001,6.66667,3.22222,3.22222,3.55556,-6.77778,7.111110000000001,0.545855,-1.05335,brickface
231,160,9,0.0,0.0,2.61111,8.240739999999999,13.1667,139.856,40.8889,34.1111,51.7778,36.7778,-20.3333,32.6667,-12.3333,51.7778,0.339618,-2.33584,path
240,63,9,0.0,0.0,0.555556,0.544331,0.388889,0.38968200000000003,8.96296,6.33333,14.0,6.555560000000001,-7.888889999999999,15.1111,-7.22222,14.0,0.5477,-2.12184,window
40,35,9,0.0,0.0,0.722223,0.250923,1.05555,0.646928,69.4444,61.7778,85.3333,61.2222,-23.0,47.6667,-24.6667,85.3333,0.287488,-2.0742,cement
155,40,9,0.0,0.0,1.8888900000000002,2.07275,0.055555499999999994,0.13608299999999998,1.25926,1.22222,1.55556,1.0,-0.11111099999999999,0.8888889999999999,-0.777778,1.55556,0.116667,-1.5708,window
74,129,9,0.0,0.0,0.22222199999999998,0.0296296,0.11111099999999999,0.0296296,0.518518,0.0,1.55556,0.0,-1.55556,3.11111,-1.55556,1.55556,1.0,-2.0944,foliage
207,115,9,0.0,0.0,1.05556,0.32963000000000003,0.166667,0.0333333,1.22222,0.44444399999999995,2.88889,0.333333,-2.33333,5.0,-2.66667,2.88889,0.933333,-2.06554,window
22,87,9,0.0,0.0,1.8888900000000002,1.25904,1.16667,0.6236109999999999,64.03699999999999,55.7778,80.3333,56.0,-24.7778,48.8889,-24.1111,80.3333,0.3097,-2.10507,cement
162,227,9,0.0,0.0,1.38889,0.996296,3.16667,8.61111,13.963,10.1111,14.4444,17.3333,-11.5556,1.44444,10.1111,17.4444,0.425501,2.70705,grass
58,109,9,0.0,0.0,1.16667,0.62361,1.05556,0.49065299999999995,41.8148,36.1111,53.6667,35.6667,-17.1111,35.5556,-18.4444,53.6667,0.334962,-2.0686400000000003,cement
