loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
27.0,6.0,1.0,3.0,112.0,569.8,0.06,16.1,35.4,9171.0,0.19,509.5,16,1,4,4,13,21,60,52,11,False
19.0,4.0,1.0,4.0,52.0,247.25,0.1,10.0,24.73,2472.54,0.08,137.36,16,0,1,0,12,15,27,25,7,False
38.0,4.0,1.0,4.0,136.0,697.58,0.06,16.55,42.16,11541.82,0.23,641.21,24,4,6,0,13,22,80,56,7,False
5.0,1.0,1.0,1.0,9.0,25.27,0.67,1.5,16.84,37.9,0.01,2.11,3,0,0,0,3,4,5,4,1,False
12.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
47.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19,True
7.0,1.0,1.0,1.0,37.0,103.87,0.07,15.0,6.92,1558.08,0.03,86.56,5,0,0,0,5,2,25,12,1,False
13.0,4.0,4.0,1.0,25.0,97.67,0.11,9.0,10.85,879.05,0.03,48.84,10,0,1,0,10,5,16,9,7,False
25.0,3.0,3.0,1.0,68.0,330.34,0.06,16.62,19.88,5488.77,0.11,304.93,15,1,6,0,16,13,41,27,5,False
11.0,5.0,3.0,3.0,25.0,92.51,0.17,5.83,15.86,539.65,0.03,29.98,9,0,0,0,7,6,15,10,9,False
24.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,13,False
69.0,11.0,3.0,10.0,215.0,1010.59,0.04,26.74,37.8,27018.54,0.34,1501.03,64,0,3,0,9,17,114,101,21,True
5.0,1.0,1.0,1.0,19.0,65.73,0.14,7.0,9.39,460.1,0.02,25.56,4,1,0,0,7,4,11,8,1,False
4.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,2,0,0,0,4,5,6,5,1,False
25.0,7.0,7.0,2.0,76.0,372.92,0.05,21.75,17.15,8111.09,0.12,450.62,20,0,2,0,18,12,47,29,13,False
17.0,2.0,1.0,2.0,33.0,134.89,0.19,5.25,25.69,708.15,0.04,39.34,11,0,4,0,7,10,18,15,3,False
4.0,1.0,1.0,1.0,6.0,13.93,0.5,2.0,6.97,27.86,0.0,1.55,2,0,0,0,4,1,5,1,1,False
4.0,1.0,1.0,1.0,8.0,24.0,0.4,2.5,9.6,60.0,0.01,3.33,2,0,0,0,5,3,5,3,1,False
23.0,8.0,7.0,2.0,83.0,407.27,0.06,18.0,22.63,7330.89,0.14,407.27,13,1,3,4,15,15,47,36,15,False
25.0,1.0,1.0,1.0,54.0,244.27,0.22,4.59,53.24,1120.78,0.08,62.27,13,0,4,6,6,17,28,26,1,True
15.0,3.0,3.0,2.0,30.0,131.77,0.12,8.13,16.21,1070.63,0.04,59.48,9,0,4,0,13,8,20,10,5,False
23.0,1.0,1.0,1.0,87.0,418.24,0.11,8.74,47.88,3653.45,0.14,202.97,14,1,5,0,11,17,60,27,1,False
71.0,12.0,12.0,7.0,290.0,1719.91,0.03,31.24,55.06,53725.81,0.57,2984.77,65,0,3,0,21,40,171,119,23,False
24.0,5.0,5.0,3.0,81.0,393.5,0.05,19.08,20.63,7506.7,0.13,417.04,19,0,2,0,16,13,50,31,9,False
181.0,21.0,4.0,7.0,592.0,3511.0,0.01,69.3,50.66,243321.3,1.17,13517.85,158,1,20,0,23,38,381,229,41,True
31.0,4.0,1.0,4.0,130.0,644.05,0.06,15.68,41.09,10095.41,0.21,560.86,26,0,3,0,11,20,73,57,7,False
28.0,3.0,1.0,3.0,107.0,544.36,0.07,13.36,40.73,7274.61,0.18,404.14,20,0,6,0,12,22,58,49,5,False
15.0,3.0,1.0,2.0,35.0,145.95,0.11,8.75,16.68,1277.04,0.05,70.95,11,0,1,0,10,8,21,14,5,False
466.0,94.0,27.0,63.0,1780.0,13527.84,0.02,58.04,233.07,785182.04,4.51,43621.22,391,1,67,4,27,167,1062,718,187,True
83.0,14.0,9.0,13.0,342.0,1968.17,0.03,35.38,55.63,69630.72,0.66,3868.37,78,0,2,0,17,37,188,154,27,True
10.0,2.0,1.0,1.0,30.0,120.0,0.14,7.0,17.14,840.0,0.04,46.67,7,0,1,0,8,8,16,14,3,False
14.0,2.0,1.0,2.0,42.0,189.99,0.14,7.33,25.91,1393.26,0.06,77.4,14,0,0,0,11,12,26,16,3,False
50.0,4.0,3.0,3.0,143.0,761.04,0.07,13.5,56.37,10273.98,0.25,570.78,43,0,5,0,12,28,80,63,7,False
8.0,1.0,1.0,1.0,26.0,96.21,0.27,3.75,25.66,360.79,0.03,20.04,6,0,0,0,5,8,14,12,1,False
7.0,2.0,1.0,2.0,19.0,76.0,0.22,4.5,16.89,342.0,0.03,19.0,5,0,0,0,9,7,12,7,3,False
5.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,3,0,0,0,5,3,6,3,1,False
18.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
30.0,4.0,4.0,4.0,74.0,370.0,0.1,9.6,38.54,3552.0,0.12,197.33,13,9,6,0,12,20,42,32,7,False
27.0,4.0,3.0,2.0,110.0,568.69,0.04,27.38,20.77,15572.12,0.19,865.12,23,0,4,0,19,17,61,49,7,False
