theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,class
-1.022114,1.541728,-0.642559,1.418554,1.500414,0.151193,-1.2996729999999999,0.841143,N
-0.8300860000000001,-1.569396,-0.610056,-1.2251370000000001,1.519527,-0.7870050000000001,-1.095744,-1.352481,N
0.233627,1.323639,1.4018549999999999,-0.000907,-1.566763,-1.505184,-0.77271,-0.668131,N
-0.89302,1.445625,-1.5003540000000002,-0.021800999999999997,1.406192,-1.369398,1.281941,-0.436784,N
0.608487,1.174466,1.454566,-0.182036,-0.780998,1.232544,1.075739,-0.6701020000000001,P
-0.345869,0.586759,-0.178108,0.853798,0.199706,0.19708,-0.29726199999999997,-0.215952,N
0.598322,-1.565767,1.4017879999999998,0.499316,0.332796,0.076102,1.482949,-1.3600700000000001,P
1.566185,0.7135739999999999,1.522957,-0.730405,-0.06617200000000001,-1.180563,1.028477,-1.304771,P
1.257965,1.176588,0.446229,0.322108,1.239929,-1.129317,1.522875,1.075965,N
-1.149208,-0.280472,0.576908,-1.3118290000000001,-0.7360869999999999,-0.369931,-1.54576,0.299898,P
-0.513829,-0.023176,0.8542639999999999,1.3774309999999998,0.8699879999999999,1.467443,-0.612239,-0.091572,P
0.303618,-0.43924399999999997,-0.695891,-0.227765,-0.7446010000000001,1.568686,-0.570689,-0.797253,P
-1.265448,0.9108709999999999,0.650986,-0.349966,0.9031620000000001,0.41805299999999995,0.727475,-1.4568510000000001,P
0.405404,-0.623606,1.447095,-0.757369,0.63763,-0.23676399999999997,-0.23356999999999997,0.836872,P
0.951576,-0.393835,-0.527307,-0.5631520000000001,1.362283,0.5719529999999999,1.366582,1.0556809999999999,N
-1.560761,-0.019966,-0.837116,-0.887702,0.040354,1.00989,0.345922,-1.223724,N
-0.41352700000000003,-1.0105549999999999,-0.525934,-1.16753,-1.379909,1.42616,1.42061,1.40262,N
-1.226889,-1.506926,1.386664,-1.375302,-0.644113,1.273408,0.824641,-1.4489670000000001,P
-0.507872,-0.343294,0.464898,-0.90664,0.895624,1.0303129999999998,-0.263682,0.397872,N
1.275077,1.372351,-0.451046,0.968075,-0.629326,1.3064959999999999,-1.354435,0.30073,P
0.918165,-0.5344300000000001,-0.820559,0.733615,0.732043,1.317491,-0.047665,0.821931,N
1.182542,-0.763764,-0.761713,-0.304435,1.3167719999999998,0.279269,-1.228884,-1.237049,N
0.059659000000000004,1.499271,1.470118,-0.704916,1.45484,-1.183187,-0.44090100000000004,-1.0962399999999999,P
-1.547209,1.4554200000000002,1.3881729999999999,0.19776400000000002,-1.177118,-0.6920649999999999,0.557207,-1.375443,P
0.23744899999999997,0.619779,-1.179235,-0.461567,-0.7486119999999999,-0.800318,-1.5196129999999999,1.199349,N
-0.47412,0.50084,0.302404,1.094185,1.186964,-1.556778,0.513263,0.681177,N
1.2909620000000002,-1.315979,1.242484,1.095988,-0.748103,-0.08718,1.469791,1.193239,P
-0.201195,0.38514899999999996,-0.801529,1.15842,1.170916,-0.166322,1.140658,0.48754200000000003,N
0.923853,0.224507,0.6913189999999999,-0.5879439999999999,-1.418668,-0.198965,0.747909,-0.040315,P
0.544669,0.6033149999999999,-0.5016649999999999,0.627128,-1.340185,-1.303986,-0.661726,0.099378,N
0.742525,0.18251199999999998,-1.555588,0.043817,1.0268469999999998,-1.3794110000000002,0.45099300000000003,0.492672,N
0.763171,0.5952729999999999,1.232682,1.39044,-0.09606,-1.484905,-0.810501,-1.288153,P
0.535034,1.4444549999999998,-0.760785,0.620799,-1.498467,-0.539515,0.364745,-0.746667,P
0.081506,0.43472299999999997,-1.234281,1.562215,-1.360271,-0.471592,-0.347956,0.144527,P
-0.730675,0.9148270000000001,-0.652645,-0.8699399999999999,1.216067,-0.274997,-0.8936370000000001,-0.844258,N
0.570299,1.088885,0.223723,1.19668,0.5688300000000001,-1.570152,-0.210542,-0.016366,N
-0.210317,-0.274908,-1.327216,0.880102,1.384503,-0.42018,-0.93948,-0.44526000000000004,N
0.6554220000000001,-0.420066,0.594793,-1.08781,-0.906012,-0.6836479999999999,1.157721,0.828041,P
-0.317277,0.10993599999999999,1.31784,-1.204593,-1.514565,-0.22986399999999999,0.187575,0.081493,P
0.473479,-1.091595,-0.59978,1.5477530000000002,0.748404,-0.651104,-0.21999899999999997,-0.509154,N
-0.44711999999999996,-0.898984,0.988657,1.369646,0.010657,0.272442,-0.9565629999999999,-0.05310700000000001,P
-0.9682430000000001,-0.06764400000000001,-0.442303,-0.2262,-0.822976,0.287245,1.425656,-0.87172,N
-0.493329,-1.357608,-0.846957,0.482104,-0.780943,0.6116149999999999,0.413451,1.127976,N
-0.411592,-1.423693,-0.9239459999999999,-1.377815,0.543931,-1.314543,-1.1047790000000002,0.13379000000000002,P
0.23509699999999997,-1.147455,0.29175700000000004,0.377081,0.7104739999999999,0.9206209999999999,0.703665,-0.541509,P
-0.741099,-0.763141,1.2842770000000001,-0.353742,0.654432,1.344993,0.647644,-0.9009299999999999,P
-0.10745299999999999,0.5326569999999999,-0.378804,-0.47310399999999997,-0.370543,0.312085,1.527686,-1.0402770000000001,P
0.755509,-1.3404610000000001,0.709472,0.38140799999999997,0.310406,-0.259654,1.536467,1.387585,P
-1.390498,1.556697,-0.8638049999999999,-1.5004549999999999,-1.393761,0.1861,-0.046719,1.302181,P
0.5079,1.331885,0.253542,0.418692,-1.1520299999999999,1.0435379999999999,-0.595475,-1.2367700000000001,P
0.762633,0.964101,0.671697,-0.394848,-0.18976099999999999,-0.9599790000000001,-0.23192,1.1869450000000001,P
-0.34828200000000004,-0.819694,0.9475100000000001,1.252245,0.789818,0.5025470000000001,0.338502,1.420567,P
-1.079065,-0.9184110000000001,-1.2781360000000002,1.436496,1.235691,1.4853399999999999,-0.014952000000000002,0.104993,N
1.418515,0.288835,-0.886767,-1.25189,0.504447,-1.5664049999999998,0.667254,0.092829,N
-1.013113,0.8975360000000001,-0.720842,-0.927277,-0.214903,-1.3862,-0.118655,1.123872,N
0.546891,-0.511166,-0.606354,0.17260999999999999,-1.296714,-0.694637,0.256073,-1.429627,P
