height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
9,83,747,9.222000000000001,0.284,0.8490000000000001,1.91,212,634,111,P
11,65,715,5.909,0.39,0.877,2.61,279,627,107,P
9,304,2736,33.778,0.20199999999999999,0.7490000000000001,1.32,554,2049,419,P
8,101,808,12.625,0.222,0.8340000000000001,1.29,179,674,139,P
8,12,96,1.5,0.42700000000000005,1.0,1.64,41,96,25,P
8,27,216,3.375,0.218,0.852,2.24,47,184,21,P
9,33,297,3.667,0.377,0.8420000000000001,2.24,112,250,50,P
9,34,306,3.778,0.32,0.8859999999999999,1.56,98,271,63,P
3,3,9,1.0,0.778,0.778,7.0,7,7,1,P
8,26,208,3.25,0.389,1.0,2.31,81,208,35,P
8,80,640,10.0,0.19699999999999998,0.769,1.48,126,492,85,P
9,43,387,4.7780000000000005,0.509,0.9590000000000001,3.58,197,371,55,P
10,23,230,2.3,0.248,0.6779999999999999,2.19,57,156,26,P
6,14,84,2.333,0.298,0.619,1.79,25,52,14,P
6,27,162,4.5,0.154,0.48100000000000004,2.78,25,78,9,P
8,42,336,5.25,0.39,0.94,2.43,131,316,54,P
7,9,63,1.286,0.444,0.825,3.11,28,52,9,P
7,38,266,5.428999999999999,0.28600000000000003,0.748,1.69,76,199,45,P
1,35,35,35.0,0.8290000000000001,1.0,9.67,29,35,3,N
7,15,105,2.1430000000000002,0.4,0.752,1.83,42,79,23,P
2,62,124,31.0,0.452,0.565,11.2,56,70,5,N
24,198,4752,8.25,0.9109999999999999,0.983,15.8,4329,4670,274,P
8,16,128,2.0,0.38299999999999995,0.742,2.33,49,95,21,P
10,65,650,6.5,0.445,0.9109999999999999,2.58,289,592,112,P
10,38,380,3.8,0.439,0.897,2.83,167,341,59,P
8,40,320,5.0,0.35,0.9059999999999999,1.81,112,290,62,P
7,11,77,1.571,0.23399999999999999,0.935,1.64,18,72,11,P
11,19,209,1.7269999999999999,0.579,0.9570000000000001,7.56,121,200,16,P
5,31,155,6.2,0.419,0.948,1.91,65,147,34,P
6,181,1086,30.166999999999998,0.298,0.684,1.69,324,743,192,P
7,25,175,3.571,0.354,0.606,2.14,62,106,29,P
7,19,133,2.714,0.406,1.0,1.69,54,133,32,P
9,21,189,2.333,0.48700000000000004,0.857,3.29,92,162,28,P
8,41,328,5.125,0.35100000000000003,0.963,1.92,115,316,60,P
10,79,790,7.9,0.244,0.742,1.79,193,586,108,P
12,14,168,1.167,0.35700000000000004,0.958,2.31,60,161,26,P
9,22,198,2.444,0.318,0.909,2.42,63,180,26,P
7,34,238,4.857,0.462,0.941,2.34,110,224,47,P
9,80,720,8.889,0.293,0.868,1.85,211,625,114,P
7,17,119,2.4290000000000003,0.319,0.9329999999999999,1.41,38,111,27,P
7,54,378,7.7139999999999995,0.235,0.799,1.53,89,302,58,P
14,102,1428,7.2860000000000005,0.35600000000000004,0.7090000000000001,2.96,509,1013,172,P
14,192,2688,13.714,0.23399999999999999,0.589,2.28,628,1584,275,P
7,375,2625,53.571000000000005,0.092,0.428,1.21,241,1124,200,P
6,13,78,2.167,0.551,0.9229999999999999,2.53,43,72,17,P
