FirstPerson,InnerThinking,ThinkPositive,ThinkNegative,ThinkAhead,ThinkBack,Reasoning,Share_SocTies,Direct_Activity,Interacting,Notifying,LinearGuidance,WordPicture,SpaceInterval,Motion,PastEvents,TimeInterval,ShiftingEvents,Text_Coverage,Genre,Counter,Corpus,class
1.8,2.35,0.55,2.1,1.09,0.5,2.73,1.59,0.13,1.68,1.8,5.41,6.08,1.89,0.46,2.77,0.92,0.63,34.48,10,391,1,110
1.13,3.17,0.45,0.63,2.22,0.45,2.63,0.86,0.05,0.68,2.54,2.72,9.24,2.67,1.5,0.91,1.68,1.54,35.07,5,607,2,205
0.0,2.01,0.7,1.44,2.31,1.22,2.49,2.53,0.44,0.13,2.57,2.66,4.45,0.65,0.26,1.09,1.22,0.87,27.04,2,50,1,102
0.79,3.99,0.74,0.88,1.58,0.26,4.03,1.97,0.35,0.88,3.16,5.65,5.83,1.05,0.74,1.75,1.62,1.01,36.28,2,54,1,102
0.0,2.39,0.87,0.95,0.82,1.13,3.91,0.69,0.04,0.69,1.78,7.68,11.55,2.86,1.17,3.99,0.74,0.82,42.08,14,463,1,114
0.0,0.94,0.35,0.63,0.86,0.27,1.49,0.98,0.04,0.16,2.62,5.56,7.44,1.41,1.17,2.9,1.33,0.9,29.05,6,176,1,106
3.2,6.05,0.98,1.96,1.2,0.45,4.54,2.05,0.18,0.89,2.76,5.03,4.72,0.45,0.0,0.89,1.07,0.76,37.18,7,259,1,107
0.08,1.8,0.37,0.45,0.37,1.14,2.16,1.51,0.04,0.0,2.37,1.67,3.59,0.37,0.37,1.31,1.27,0.29,19.16,9,366,1,109
0.0,1.47,0.52,0.65,0.91,0.78,1.6,1.94,0.13,0.0,2.67,2.37,4.53,1.34,0.22,2.07,1.38,0.34,22.92,8,275,1,108
0.04,1.45,0.29,1.04,1.45,0.46,1.37,2.37,0.08,0.0,2.24,4.4,6.65,1.08,0.5,2.58,1.2,0.54,27.74,1,22,1,101
0.6,3.17,2.01,1.07,0.86,0.43,2.61,1.92,0.13,0.09,2.95,4.45,5.65,0.98,0.81,1.33,1.33,0.77,31.16,3,75,1,103
0.13,2.15,2.06,2.19,1.76,0.64,2.75,3.91,0.17,0.09,2.62,3.86,1.42,0.77,0.09,1.46,0.39,0.34,26.8,8,773,2,208
0.35,2.87,0.87,0.61,1.35,0.43,2.69,1.0,0.04,0.35,1.82,5.56,7.25,2.39,1.17,3.73,1.17,1.13,34.78,10,401,1,110
2.46,2.88,0.85,0.81,1.15,0.42,2.76,1.44,0.3,0.81,2.97,6.28,6.36,1.1,0.38,1.78,1.31,0.51,34.57,14,472,1,114
0.0,3.23,0.43,1.29,0.56,0.99,2.62,2.28,0.17,0.26,3.66,3.31,3.35,0.77,0.09,1.12,1.55,1.29,26.97,7,250,1,107
0.58,4.36,0.4,1.78,2.18,0.53,4.85,4.09,0.62,0.49,3.56,4.36,1.78,0.27,0.04,0.98,0.4,0.27,31.54,4,592,2,204
1.05,1.81,0.72,0.56,0.76,1.69,1.45,0.97,0.24,1.29,1.93,10.41,7.8,2.81,0.88,3.38,0.88,0.76,39.39,10,402,1,110
0.43,3.72,1.04,1.25,1.17,1.21,3.16,1.38,0.3,0.52,2.55,6.44,6.83,1.3,0.39,3.03,0.87,0.99,36.58,14,467,1,114
0.22,3.06,1.15,1.33,1.77,0.04,3.42,1.38,0.98,2.97,2.4,1.73,6.57,2.09,1.6,0.71,1.64,1.33,34.39,5,638,2,205
1.3,2.77,0.74,1.43,1.26,0.48,3.51,1.26,0.17,1.26,2.38,7.15,7.36,2.08,0.56,2.51,1.04,1.0,38.26,14,464,1,114
0.0,2.45,0.67,2.62,1.51,0.4,2.54,2.14,0.44,0.36,2.58,2.45,3.69,0.98,0.71,3.02,2.8,0.71,30.07,5,615,2,205
0.0,3.52,0.94,1.2,1.5,0.34,3.47,1.59,0.21,0.6,3.39,3.9,4.46,1.03,0.51,1.03,1.76,0.51,29.96,9,333,1,109
0.0,3.15,0.13,0.35,0.66,0.71,2.22,0.98,0.35,0.0,2.57,2.62,4.88,1.2,0.13,1.2,1.86,0.44,23.45,9,295,1,109
0.0,1.37,0.3,0.3,0.82,0.17,1.29,1.12,0.17,0.04,2.28,2.41,6.31,1.63,0.26,1.89,1.76,0.82,22.94,9,350,1,109
0.0,3.77,0.86,1.33,1.76,0.77,2.61,3.81,0.17,0.0,2.83,4.41,3.3,0.43,0.04,1.8,3.3,0.47,31.66,6,180,1,106
0.0,1.8,0.73,0.51,0.77,0.13,1.54,1.41,0.17,0.17,3.68,2.06,6.26,0.77,0.47,1.93,1.2,0.64,24.24,5,139,1,105
0.0,2.89,0.57,3.07,1.4,0.61,2.63,2.46,0.26,0.83,3.59,2.67,1.58,0.61,0.09,1.14,1.71,0.75,26.86,9,819,2,209
0.39,1.79,0.66,0.83,1.05,0.09,1.14,0.57,0.22,0.04,2.45,4.11,3.02,3.19,0.87,3.94,1.62,1.09,27.07,1,508,2,201
