dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
AP_Breast_Lung,,,,,,Timeout,Timeout,Timeout,,,,,,,,,,,,,,,,,,,660.0008451938628,660.0011732578278,660.0010826587678
AP_Omentum_Ovary,,,,,,Timeout,Timeout,Timeout,,,,,,,,,,,,,,,,,,,660.0007450580598,660.0008199214935,660.0008172988893
AP_Prostate_Ovary,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,604.6668295860289,608.1204316616057,621.2551734447478
AirlinesCodrnaAdult,,,,,,Timeout,Timeout,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,660.0008411407472,4124.470549345017,634.7649567127228
Amazon,,,,,,A pipeline has not yet been optimized. Please call fit() first.,Timeout,Timeout,,,,,,,,,,,,,,,,,,,632.7008926868439,660.0007157325745,660.0011692047118
CovPokElec,,,,,,A pipeline has not yet been optimized. Please call fit() first.,Timeout,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,613.9637923240663,1513.1737987995148,606.9211571216582
GCM,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0009982585908,,
KDDCup99,,,,,,Timeout,Timeout,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,660.0012629032135,660.000702381134,604.677206993103
MagicTelescope,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,625.9690971374513,,
aaaData_for_UCI_named,1.0,,,1.0,0.0,,,,1.0,,,1.0,0.0,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.05, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=3, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,,1.0,,,1.0,0.0,1.0,,,1.0,0.0,605.9276812076569,,
analcatdata_authorship,0.995260663507109,,,0.995260663507109,0.0,,,,0.9952581533761158,,,0.9952581533761158,0.0,"Pipeline(memory=None,
     steps=[('linearsvc', LinearSVC(C=10.0, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.001,
     verbose=0))])",,,0.9953184602936076,,,0.9953184602936076,0.0,0.995260663507109,,,0.995260663507109,0.0,600.7341470718384,,
