2019-04-16 16:33:28.064280
1, memory_percent: 0.0025613080443367647, cpu_percent: 46.5
2, memory_percent: 0.26977369013922536, cpu_percent: 5.0
3, memory_percent: 0.49046435469411975, cpu_percent: 7.6
4, memory_percent: 1.2445866231767015, cpu_percent: 63.5
5, memory_percent: 1.9141334546034288, cpu_percent: 39.8
6, memory_percent: 2.650692467924844, cpu_percent: 59.1
7, memory_percent: 3.0744582702807244, cpu_percent: 84.0
8, memory_percent: 3.4004761942098756, cpu_percent: 67.7
9, memory_percent: 3.4004761942098756, cpu_percent: 38.7
10, memory_percent: 3.4004761942098756, cpu_percent: 54.7
11, memory_percent: 3.4004761942098756, cpu_percent: 78.8
12, memory_percent: 3.4015216260647065, cpu_percent: 89.6
13, memory_percent: 3.4015216260647065, cpu_percent: 81.9
14, memory_percent: 3.4015216260647065, cpu_percent: 87.6
15, memory_percent: 3.4015216260647065, cpu_percent: 95.5
16, memory_percent: 3.4015216260647065, cpu_percent: 51.0
17, memory_percent: 3.401939798806639, cpu_percent: 69.8
18, memory_percent: 3.401939798806639, cpu_percent: 91.5
19, memory_percent: 3.401939798806639, cpu_percent: 92.5
20, memory_percent: 3.401939798806639, cpu_percent: 76.3
21, memory_percent: 3.401939798806639, cpu_percent: 51.0
22, memory_percent: 3.401939798806639, cpu_percent: 51.5
23, memory_percent: 3.401939798806639, cpu_percent: 50.5
24, memory_percent: 3.401939798806639, cpu_percent: 52.3
25, memory_percent: 3.401939798806639, cpu_percent: 50.5
26, memory_percent: 3.401939798806639, cpu_percent: 52.5
27, memory_percent: 3.401939798806639, cpu_percent: 50.7
28, memory_percent: 3.401939798806639, cpu_percent: 50.7
29, memory_percent: 3.401939798806639, cpu_percent: 50.5
30, memory_percent: 3.401939798806639, cpu_percent: 50.5
31, memory_percent: 3.401939798806639, cpu_percent: 50.5
32, memory_percent: 3.401939798806639, cpu_percent: 50.5
33, memory_percent: 3.401939798806639, cpu_percent: 50.5
34, memory_percent: 3.401939798806639, cpu_percent: 50.7
35, memory_percent: 3.401939798806639, cpu_percent: 50.5
36, memory_percent: 3.401939798806639, cpu_percent: 50.3
37, memory_percent: 3.401939798806639, cpu_percent: 51.0
38, memory_percent: 3.401939798806639, cpu_percent: 50.3
39, memory_percent: 3.401939798806639, cpu_percent: 50.5
40, memory_percent: 3.401939798806639, cpu_percent: 50.8
41, memory_percent: 3.401939798806639, cpu_percent: 50.3
42, memory_percent: 3.401939798806639, cpu_percent: 50.5
43, memory_percent: 3.401939798806639, cpu_percent: 50.3
44, memory_percent: 3.401939798806639, cpu_percent: 53.5
45, memory_percent: 3.401939798806639, cpu_percent: 51.0
46, memory_percent: 3.401939798806639, cpu_percent: 51.2
47, memory_percent: 3.401939798806639, cpu_percent: 50.3
48, memory_percent: 3.401939798806639, cpu_percent: 50.7
49, memory_percent: 3.401939798806639, cpu_percent: 50.3
50, memory_percent: 3.401939798806639, cpu_percent: 50.5
51, memory_percent: 3.401939798806639, cpu_percent: 50.5
52, memory_percent: 3.401939798806639, cpu_percent: 50.5
53, memory_percent: 3.401939798806639, cpu_percent: 50.8
54, memory_percent: 3.401939798806639, cpu_percent: 50.3
55, memory_percent: 3.401939798806639, cpu_percent: 50.5
56, memory_percent: 3.401939798806639, cpu_percent: 50.3
57, memory_percent: 3.401939798806639, cpu_percent: 51.0
58, memory_percent: 3.401939798806639, cpu_percent: 50.3
59, memory_percent: 3.401939798806639, cpu_percent: 50.3
60, memory_percent: 3.401939798806639, cpu_percent: 50.7
61, memory_percent: 3.401939798806639, cpu_percent: 50.5
62, memory_percent: 3.401939798806639, cpu_percent: 50.3
63, memory_percent: 3.401939798806639, cpu_percent: 50.5
64, memory_percent: 3.401939798806639, cpu_percent: 50.3
65, memory_percent: 3.401939798806639, cpu_percent: 50.7
66, memory_percent: 3.401939798806639, cpu_percent: 50.5
67, memory_percent: 3.401939798806639, cpu_percent: 50.3
68, memory_percent: 3.401939798806639, cpu_percent: 50.5
69, memory_percent: 3.401939798806639, cpu_percent: 50.8
70, memory_percent: 3.401939798806639, cpu_percent: 50.8
71, memory_percent: 3.401939798806639, cpu_percent: 50.2
72, memory_percent: 3.401939798806639, cpu_percent: 50.5
73, memory_percent: 3.401939798806639, cpu_percent: 50.7
74, memory_percent: 3.401939798806639, cpu_percent: 50.5
75, memory_percent: 3.401939798806639, cpu_percent: 50.3
76, memory_percent: 3.401939798806639, cpu_percent: 51.0
77, memory_percent: 3.401939798806639, cpu_percent: 50.3
78, memory_percent: 3.401939798806639, cpu_percent: 50.3
79, memory_percent: 3.401939798806639, cpu_percent: 50.7
80, memory_percent: 3.401939798806639, cpu_percent: 50.3
81, memory_percent: 3.401939798806639, cpu_percent: 50.8
82, memory_percent: 3.401939798806639, cpu_percent: 50.3
83, memory_percent: 3.401939798806639, cpu_percent: 50.5
84, memory_percent: 3.401939798806639, cpu_percent: 50.7
85, memory_percent: 3.401939798806639, cpu_percent: 50.3
86, memory_percent: 3.401939798806639, cpu_percent: 50.3
87, memory_percent: 3.401939798806639, cpu_percent: 50.5
88, memory_percent: 3.401939798806639, cpu_percent: 50.3
89, memory_percent: 3.401939798806639, cpu_percent: 50.5
90, memory_percent: 3.401939798806639, cpu_percent: 50.5
91, memory_percent: 3.401939798806639, cpu_percent: 50.3
92, memory_percent: 3.401939798806639, cpu_percent: 52.0
93, memory_percent: 3.401939798806639, cpu_percent: 50.7
94, memory_percent: 3.401939798806639, cpu_percent: 50.3
95, memory_percent: 3.401939798806639, cpu_percent: 50.5
96, memory_percent: 3.401939798806639, cpu_percent: 50.5
97, memory_percent: 3.401939798806639, cpu_percent: 50.3
98, memory_percent: 3.401939798806639, cpu_percent: 51.0
99, memory_percent: 3.401939798806639, cpu_percent: 50.8
100, memory_percent: 3.401939798806639, cpu_percent: 50.3
101, memory_percent: 3.401939798806639, cpu_percent: 50.5
102, memory_percent: 3.401939798806639, cpu_percent: 50.8
103, memory_percent: 3.401939798806639, cpu_percent: 50.2
104, memory_percent: 3.401939798806639, cpu_percent: 52.8
105, memory_percent: 3.401939798806639, cpu_percent: 51.0
106, memory_percent: 3.401939798806639, cpu_percent: 50.8
107, memory_percent: 3.401939798806639, cpu_percent: 50.5
108, memory_percent: 3.401939798806639, cpu_percent: 50.0
109, memory_percent: 3.401939798806639, cpu_percent: 50.5
110, memory_percent: 3.401939798806639, cpu_percent: 51.0
111, memory_percent: 3.401939798806639, cpu_percent: 50.2
112, memory_percent: 3.401939798806639, cpu_percent: 50.5
113, memory_percent: 3.401939798806639, cpu_percent: 50.3
114, memory_percent: 3.401939798806639, cpu_percent: 50.3
115, memory_percent: 3.401939798806639, cpu_percent: 50.7
116, memory_percent: 3.401939798806639, cpu_percent: 50.3
117, memory_percent: 3.401939798806639, cpu_percent: 50.3
118, memory_percent: 3.401939798806639, cpu_percent: 50.5
119, memory_percent: 3.401939798806639, cpu_percent: 50.5
120, memory_percent: 3.401939798806639, cpu_percent: 50.5
121, memory_percent: 3.401939798806639, cpu_percent: 50.5
122, memory_percent: 3.401939798806639, cpu_percent: 50.3
123, memory_percent: 3.401939798806639, cpu_percent: 50.5
124, memory_percent: 3.401939798806639, cpu_percent: 50.3
125, memory_percent: 3.401939798806639, cpu_percent: 50.7
126, memory_percent: 3.401939798806639, cpu_percent: 50.7
127, memory_percent: 3.401939798806639, cpu_percent: 50.3
128, memory_percent: 3.401939798806639, cpu_percent: 50.5
129, memory_percent: 3.401939798806639, cpu_percent: 50.3
130, memory_percent: 3.401939798806639, cpu_percent: 50.5
131, memory_percent: 3.401939798806639, cpu_percent: 51.0
132, memory_percent: 3.401939798806639, cpu_percent: 50.0
133, memory_percent: 3.401939798806639, cpu_percent: 50.8
134, memory_percent: 3.401939798806639, cpu_percent: 50.3
135, memory_percent: 3.401939798806639, cpu_percent: 50.0
136, memory_percent: 3.401939798806639, cpu_percent: 50.5
137, memory_percent: 3.401939798806639, cpu_percent: 50.8
138, memory_percent: 3.401939798806639, cpu_percent: 50.0
139, memory_percent: 3.401939798806639, cpu_percent: 50.5
140, memory_percent: 3.401939798806639, cpu_percent: 50.7
141, memory_percent: 3.401939798806639, cpu_percent: 50.5
142, memory_percent: 3.401939798806639, cpu_percent: 50.3
143, memory_percent: 3.401939798806639, cpu_percent: 50.7
144, memory_percent: 3.401939798806639, cpu_percent: 50.3
145, memory_percent: 3.401939798806639, cpu_percent: 50.5
146, memory_percent: 3.401939798806639, cpu_percent: 50.7
147, memory_percent: 3.401939798806639, cpu_percent: 50.3
148, memory_percent: 3.401939798806639, cpu_percent: 50.5
149, memory_percent: 3.401939798806639, cpu_percent: 50.5
150, memory_percent: 3.401939798806639, cpu_percent: 50.3
151, memory_percent: 3.401939798806639, cpu_percent: 51.0
152, memory_percent: 3.401939798806639, cpu_percent: 50.0
153, memory_percent: 3.401939798806639, cpu_percent: 50.5
154, memory_percent: 3.401939798806639, cpu_percent: 50.3
155, memory_percent: 3.401939798806639, cpu_percent: 50.5
156, memory_percent: 3.401939798806639, cpu_percent: 50.3
157, memory_percent: 3.401939798806639, cpu_percent: 50.5
158, memory_percent: 3.401939798806639, cpu_percent: 50.5
159, memory_percent: 3.401939798806639, cpu_percent: 50.3
160, memory_percent: 3.401939798806639, cpu_percent: 50.7
161, memory_percent: 3.401939798806639, cpu_percent: 50.0
162, memory_percent: 3.401939798806639, cpu_percent: 50.3
163, memory_percent: 3.401939798806639, cpu_percent: 51.7
164, memory_percent: 3.401939798806639, cpu_percent: 52.3
165, memory_percent: 3.401939798806639, cpu_percent: 51.0
166, memory_percent: 3.401939798806639, cpu_percent: 50.7
167, memory_percent: 3.401939798806639, cpu_percent: 50.5
168, memory_percent: 3.401939798806639, cpu_percent: 50.3
169, memory_percent: 3.401939798806639, cpu_percent: 51.0
170, memory_percent: 3.401939798806639, cpu_percent: 50.0
171, memory_percent: 3.401939798806639, cpu_percent: 50.0
172, memory_percent: 3.401939798806639, cpu_percent: 50.5
173, memory_percent: 3.401939798806639, cpu_percent: 50.5
174, memory_percent: 3.401939798806639, cpu_percent: 50.7
175, memory_percent: 3.401939798806639, cpu_percent: 52.3
176, memory_percent: 3.401939798806639, cpu_percent: 50.0
177, memory_percent: 3.401939798806639, cpu_percent: 50.5
178, memory_percent: 3.401939798806639, cpu_percent: 50.3
179, memory_percent: 3.401939798806639, cpu_percent: 50.5
180, memory_percent: 3.401939798806639, cpu_percent: 50.7
181, memory_percent: 3.401939798806639, cpu_percent: 50.5
182, memory_percent: 3.401939798806639, cpu_percent: 50.3
183, memory_percent: 3.401939798806639, cpu_percent: 50.5
184, memory_percent: 3.401939798806639, cpu_percent: 50.7
185, memory_percent: 3.401939798806639, cpu_percent: 50.3
186, memory_percent: 3.401939798806639, cpu_percent: 50.5
187, memory_percent: 3.401939798806639, cpu_percent: 50.3
188, memory_percent: 3.401939798806639, cpu_percent: 50.3
189, memory_percent: 3.401939798806639, cpu_percent: 51.0
190, memory_percent: 3.401939798806639, cpu_percent: 50.5
191, memory_percent: 3.401939798806639, cpu_percent: 50.3
192, memory_percent: 3.401939798806639, cpu_percent: 50.5
193, memory_percent: 3.401939798806639, cpu_percent: 50.7
194, memory_percent: 3.401939798806639, cpu_percent: 50.7
195, memory_percent: 3.401939798806639, cpu_percent: 50.5
196, memory_percent: 3.401939798806639, cpu_percent: 50.3
197, memory_percent: 3.401939798806639, cpu_percent: 50.7
198, memory_percent: 3.401939798806639, cpu_percent: 50.5
199, memory_percent: 3.401939798806639, cpu_percent: 50.3
200, memory_percent: 3.401939798806639, cpu_percent: 50.7
201, memory_percent: 3.401939798806639, cpu_percent: 50.5
202, memory_percent: 3.401939798806639, cpu_percent: 50.5
203, memory_percent: 3.401939798806639, cpu_percent: 50.3
204, memory_percent: 3.401939798806639, cpu_percent: 50.3
205, memory_percent: 3.401939798806639, cpu_percent: 50.7
206, memory_percent: 3.401939798806639, cpu_percent: 50.3
207, memory_percent: 3.401939798806639, cpu_percent: 50.7
208, memory_percent: 3.401939798806639, cpu_percent: 50.3
209, memory_percent: 3.401939798806639, cpu_percent: 50.5
210, memory_percent: 3.401939798806639, cpu_percent: 50.2
211, memory_percent: 3.401939798806639, cpu_percent: 50.3
212, memory_percent: 3.401939798806639, cpu_percent: 50.3
213, memory_percent: 3.401939798806639, cpu_percent: 50.8
214, memory_percent: 3.401939798806639, cpu_percent: 50.5
215, memory_percent: 3.401939798806639, cpu_percent: 50.5
216, memory_percent: 3.401939798806639, cpu_percent: 50.0
217, memory_percent: 3.401939798806639, cpu_percent: 50.3
218, memory_percent: 3.401939798806639, cpu_percent: 50.5
219, memory_percent: 3.401939798806639, cpu_percent: 50.3
220, memory_percent: 3.401939798806639, cpu_percent: 50.3
221, memory_percent: 3.401939798806639, cpu_percent: 50.3
222, memory_percent: 3.401939798806639, cpu_percent: 50.3
223, memory_percent: 3.401939798806639, cpu_percent: 53.5
224, memory_percent: 3.401939798806639, cpu_percent: 50.2
225, memory_percent: 3.401939798806639, cpu_percent: 51.0
226, memory_percent: 3.401939798806639, cpu_percent: 50.7
227, memory_percent: 3.401939798806639, cpu_percent: 50.5
228, memory_percent: 3.401939798806639, cpu_percent: 50.3
229, memory_percent: 3.401939798806639, cpu_percent: 50.5
230, memory_percent: 3.401939798806639, cpu_percent: 50.2
231, memory_percent: 3.401939798806639, cpu_percent: 50.3
232, memory_percent: 3.401939798806639, cpu_percent: 50.5
233, memory_percent: 3.401939798806639, cpu_percent: 50.3
234, memory_percent: 3.401939798806639, cpu_percent: 50.3
235, memory_percent: 3.401939798806639, cpu_percent: 50.3
236, memory_percent: 3.401939798806639, cpu_percent: 50.0
237, memory_percent: 3.401939798806639, cpu_percent: 50.7
238, memory_percent: 3.401939798806639, cpu_percent: 50.5
239, memory_percent: 3.401939798806639, cpu_percent: 50.5
240, memory_percent: 3.401939798806639, cpu_percent: 50.7
241, memory_percent: 3.401939798806639, cpu_percent: 50.0
242, memory_percent: 3.401939798806639, cpu_percent: 50.3
243, memory_percent: 3.401939798806639, cpu_percent: 50.2
244, memory_percent: 3.401939798806639, cpu_percent: 50.3
245, memory_percent: 3.401939798806639, cpu_percent: 50.5
246, memory_percent: 3.401939798806639, cpu_percent: 50.5
247, memory_percent: 3.401939798806639, cpu_percent: 50.5
248, memory_percent: 3.401939798806639, cpu_percent: 50.3
249, memory_percent: 3.401939798806639, cpu_percent: 50.5
250, memory_percent: 3.401939798806639, cpu_percent: 50.0
251, memory_percent: 3.401939798806639, cpu_percent: 50.5
252, memory_percent: 3.401939798806639, cpu_percent: 50.7
253, memory_percent: 3.401939798806639, cpu_percent: 50.5
254, memory_percent: 3.401939798806639, cpu_percent: 50.3
255, memory_percent: 3.401939798806639, cpu_percent: 50.7
256, memory_percent: 3.401939798806639, cpu_percent: 50.3
257, memory_percent: 3.401939798806639, cpu_percent: 50.2
258, memory_percent: 3.401939798806639, cpu_percent: 51.7
259, memory_percent: 3.401939798806639, cpu_percent: 50.3
260, memory_percent: 3.401939798806639, cpu_percent: 50.3
261, memory_percent: 3.401939798806639, cpu_percent: 50.7
262, memory_percent: 3.401939798806639, cpu_percent: 50.5
263, memory_percent: 3.401939798806639, cpu_percent: 50.7
264, memory_percent: 3.401939798806639, cpu_percent: 50.5
265, memory_percent: 3.401939798806639, cpu_percent: 50.5
266, memory_percent: 3.401939798806639, cpu_percent: 50.2
267, memory_percent: 3.401939798806639, cpu_percent: 50.3
268, memory_percent: 3.401939798806639, cpu_percent: 50.3
269, memory_percent: 3.401939798806639, cpu_percent: 50.3
270, memory_percent: 3.401939798806639, cpu_percent: 50.3
271, memory_percent: 3.401939798806639, cpu_percent: 50.2
272, memory_percent: 3.401939798806639, cpu_percent: 50.5
273, memory_percent: 3.401939798806639, cpu_percent: 50.7
274, memory_percent: 3.401939798806639, cpu_percent: 50.3
275, memory_percent: 3.401939798806639, cpu_percent: 50.0
276, memory_percent: 3.401939798806639, cpu_percent: 50.5
277, memory_percent: 3.401939798806639, cpu_percent: 50.7
278, memory_percent: 3.401939798806639, cpu_percent: 50.5
279, memory_percent: 3.401939798806639, cpu_percent: 50.3
280, memory_percent: 3.401939798806639, cpu_percent: 50.3
281, memory_percent: 3.401939798806639, cpu_percent: 50.3
282, memory_percent: 3.401939798806639, cpu_percent: 50.3
283, memory_percent: 3.401939798806639, cpu_percent: 52.7
284, memory_percent: 3.401939798806639, cpu_percent: 50.7
285, memory_percent: 3.401939798806639, cpu_percent: 51.0
286, memory_percent: 3.401939798806639, cpu_percent: 50.0
287, memory_percent: 3.401939798806639, cpu_percent: 50.0
288, memory_percent: 3.401939798806639, cpu_percent: 50.5
289, memory_percent: 3.401939798806639, cpu_percent: 50.3
290, memory_percent: 3.401939798806639, cpu_percent: 51.0
291, memory_percent: 3.401939798806639, cpu_percent: 50.3
292, memory_percent: 3.401939798806639, cpu_percent: 50.0
293, memory_percent: 3.401939798806639, cpu_percent: 50.7
294, memory_percent: 3.401939798806639, cpu_percent: 50.3
295, memory_percent: 3.401939798806639, cpu_percent: 50.5
296, memory_percent: 3.401939798806639, cpu_percent: 50.3
297, memory_percent: 3.401939798806639, cpu_percent: 50.3
