2019-04-16 16:33:28.063570
MEM 0.003906 1555432408.0649
MEM 20.160156 1555432409.0665
MEM 36.652344 1555432410.0685
MEM 93.007812 1555432411.0705
MEM 143.042969 1555432412.0721
MEM 198.085938 1555432413.0739
MEM 229.753906 1555432414.0750
MEM 254.117188 1555432415.0764
MEM 254.117188 1555432416.0781
MEM 254.117188 1555432417.0795
MEM 254.117188 1555432418.0809
MEM 254.195312 1555432419.0823
MEM 254.195312 1555432420.0829
MEM 254.195312 1555432421.0843
MEM 254.195312 1555432422.0857
MEM 254.195312 1555432423.0872
MEM 254.226562 1555432424.0909
MEM 254.226562 1555432425.0926
MEM 254.226562 1555432426.0940
MEM 254.226562 1555432427.0954
MEM 254.226562 1555432428.0969
MEM 254.226562 1555432429.0983
MEM 254.226562 1555432430.0997
MEM 254.226562 1555432431.1012
MEM 254.226562 1555432432.1028
MEM 254.226562 1555432433.1042
MEM 254.226562 1555432434.1059
MEM 254.226562 1555432435.1073
MEM 254.226562 1555432436.1088
MEM 254.226562 1555432437.1103
MEM 254.226562 1555432438.1117
MEM 254.226562 1555432439.1127
MEM 254.226562 1555432440.1142
MEM 254.226562 1555432441.1156
MEM 254.226562 1555432442.1171
MEM 254.226562 1555432443.1186
MEM 254.226562 1555432444.1199
MEM 254.226562 1555432445.1206
MEM 254.226562 1555432446.1220
MEM 254.226562 1555432447.1235
MEM 254.226562 1555432448.1249
MEM 254.226562 1555432449.1264
MEM 254.226562 1555432450.1278
MEM 254.226562 1555432451.1293
MEM 254.226562 1555432452.1307
MEM 254.226562 1555432453.1321
MEM 254.226562 1555432454.1335
MEM 254.226562 1555432455.1349
MEM 254.226562 1555432456.1363
MEM 254.226562 1555432457.1377
MEM 254.226562 1555432458.1391
MEM 254.226562 1555432459.1405
MEM 254.226562 1555432460.1410
MEM 254.226562 1555432461.1424
MEM 254.226562 1555432462.1438
MEM 254.226562 1555432463.1452
MEM 254.226562 1555432464.1466
MEM 254.226562 1555432465.1480
MEM 254.226562 1555432466.1495
MEM 254.226562 1555432467.1503
MEM 254.226562 1555432468.1514
MEM 254.226562 1555432469.1520
MEM 254.226562 1555432470.1529
MEM 254.226562 1555432471.1538
MEM 254.226562 1555432472.1547
MEM 254.226562 1555432473.1557
MEM 254.226562 1555432474.1568
MEM 254.226562 1555432475.1578
MEM 254.226562 1555432476.1588
MEM 254.226562 1555432477.1599
MEM 254.226562 1555432478.1610
MEM 254.226562 1555432479.1621
MEM 254.226562 1555432480.1633
MEM 254.226562 1555432481.1644
MEM 254.226562 1555432482.1656
MEM 254.226562 1555432483.1668
MEM 254.226562 1555432484.1680
MEM 254.226562 1555432485.1692
MEM 254.226562 1555432486.1704
MEM 254.226562 1555432487.1716
MEM 254.226562 1555432488.1728
MEM 254.226562 1555432489.1741
MEM 254.226562 1555432490.1754
MEM 254.226562 1555432491.1764
MEM 254.226562 1555432492.1777
MEM 254.226562 1555432493.1790
MEM 254.226562 1555432494.1803
MEM 254.226562 1555432495.1809
MEM 254.226562 1555432496.1823
MEM 254.226562 1555432497.1837
MEM 254.226562 1555432498.1851
MEM 254.226562 1555432499.1865
MEM 254.226562 1555432500.1879
MEM 254.226562 1555432501.1893
MEM 254.226562 1555432502.1908
MEM 254.226562 1555432503.1922
MEM 254.226562 1555432504.1937
MEM 254.226562 1555432505.1945
MEM 254.226562 1555432506.1959
MEM 254.226562 1555432507.1974
MEM 254.226562 1555432508.1989
MEM 254.226562 1555432509.2003
MEM 254.226562 1555432510.2017
MEM 254.226562 1555432511.2031
MEM 254.226562 1555432512.2046
MEM 254.226562 1555432513.2060
MEM 254.226562 1555432514.2074
MEM 254.226562 1555432515.2089
MEM 254.226562 1555432516.2103
MEM 254.226562 1555432517.2109
MEM 254.226562 1555432518.2122
MEM 254.226562 1555432519.2136
MEM 254.226562 1555432520.2149
MEM 254.226562 1555432521.2162
MEM 254.226562 1555432522.2176
MEM 254.226562 1555432523.2188
MEM 254.226562 1555432524.2202
MEM 254.226562 1555432525.2216
MEM 254.226562 1555432526.2228
MEM 254.226562 1555432527.2242
MEM 254.226562 1555432528.2255
MEM 254.226562 1555432529.2268
MEM 254.226562 1555432530.2281
MEM 254.226562 1555432531.2294
MEM 254.226562 1555432532.2306
MEM 254.226562 1555432533.2320
MEM 254.226562 1555432534.2334
MEM 254.226562 1555432535.2348
MEM 254.226562 1555432536.2361
MEM 254.226562 1555432537.2375
MEM 254.226562 1555432538.2388
MEM 254.226562 1555432539.2401
MEM 254.226562 1555432540.2412
MEM 254.226562 1555432541.2425
MEM 254.226562 1555432542.2438
MEM 254.226562 1555432543.2451
MEM 254.226562 1555432544.2465
MEM 254.226562 1555432545.2479
MEM 254.226562 1555432546.2493
MEM 254.226562 1555432547.2507
MEM 254.226562 1555432548.2521
MEM 254.226562 1555432549.2536
MEM 254.226562 1555432550.2550
MEM 254.226562 1555432551.2564
MEM 254.226562 1555432552.2578
MEM 254.226562 1555432553.2592
MEM 254.226562 1555432554.2606
MEM 254.226562 1555432555.2620
MEM 254.226562 1555432556.2628
MEM 254.226562 1555432557.2644
MEM 254.226562 1555432558.2658
MEM 254.226562 1555432559.2673
MEM 254.226562 1555432560.2687
MEM 254.226562 1555432561.2701
MEM 254.226562 1555432562.2715
MEM 254.226562 1555432563.2729
MEM 254.226562 1555432564.2743
MEM 254.226562 1555432565.2757
MEM 254.226562 1555432566.2771
MEM 254.226562 1555432567.2786
MEM 254.226562 1555432568.2798
MEM 254.226562 1555432569.2813
MEM 254.226562 1555432570.2827
MEM 254.226562 1555432571.2842
MEM 254.226562 1555432572.2855
MEM 254.226562 1555432573.2869
MEM 254.226562 1555432574.2883
MEM 254.226562 1555432575.2897
MEM 254.226562 1555432576.2909
MEM 254.226562 1555432577.2924
MEM 254.226562 1555432578.2938
MEM 254.226562 1555432579.2952
MEM 254.226562 1555432580.2966
MEM 254.226562 1555432581.2980
MEM 254.226562 1555432582.2994
MEM 254.226562 1555432583.3008
MEM 254.226562 1555432584.3022
MEM 254.226562 1555432585.3036
MEM 254.226562 1555432586.3050
MEM 254.226562 1555432587.3064
MEM 254.226562 1555432588.3078
MEM 254.226562 1555432589.3092
MEM 254.226562 1555432590.3107
MEM 254.226562 1555432591.3121
MEM 254.226562 1555432592.3136
MEM 254.226562 1555432593.3150
MEM 254.226562 1555432594.3164
MEM 254.226562 1555432595.3179
MEM 254.226562 1555432596.3193
MEM 254.226562 1555432597.3208
MEM 254.226562 1555432598.3222
MEM 254.226562 1555432599.3237
MEM 254.226562 1555432600.3251
MEM 254.226562 1555432601.3266
MEM 254.226562 1555432602.3280
MEM 254.226562 1555432603.3295
MEM 254.226562 1555432604.3309
MEM 254.226562 1555432605.3329
MEM 254.226562 1555432606.3342
MEM 254.226562 1555432607.3356
MEM 254.226562 1555432608.3371
MEM 254.226562 1555432609.3386
MEM 254.226562 1555432610.3400
MEM 254.226562 1555432611.3414
MEM 254.226562 1555432612.3428
MEM 254.226562 1555432613.3442
MEM 254.226562 1555432614.3456
MEM 254.226562 1555432615.3470
MEM 254.226562 1555432616.3484
MEM 254.226562 1555432617.3498
MEM 254.226562 1555432618.3512
MEM 254.226562 1555432619.3526
MEM 254.226562 1555432620.3540
MEM 254.226562 1555432621.3554
MEM 254.226562 1555432622.3568
MEM 254.226562 1555432623.3582
MEM 254.226562 1555432624.3593
MEM 254.226562 1555432625.3607
MEM 254.226562 1555432626.3621
MEM 254.226562 1555432627.3635
MEM 254.226562 1555432628.3649
MEM 254.226562 1555432629.3663
MEM 254.226562 1555432630.3669
MEM 254.226562 1555432631.3683
MEM 254.226562 1555432632.3699
MEM 254.226562 1555432633.3714
MEM 254.226562 1555432634.3729
MEM 254.226562 1555432635.3737
MEM 254.226562 1555432636.3751
MEM 254.226562 1555432637.3767
MEM 254.226562 1555432638.3782
MEM 254.226562 1555432639.3797
MEM 254.226562 1555432640.3811
MEM 254.226562 1555432641.3827
MEM 254.226562 1555432642.3841
MEM 254.226562 1555432643.3855
MEM 254.226562 1555432644.3869
MEM 254.226562 1555432645.3884
MEM 254.226562 1555432646.3898
MEM 254.226562 1555432647.3913
