dataset,accuracy_1,accuracy_mean,accuracy_std,error_1,f1score_1,f1score_mean,f1score_std,model_1,precision_1,precision_mean,precision_std,recall_1,recall_mean,recall_std,time_1
GCM,0.7708333333333333,0.7708333333333333,0.0,,0.7529220779220781,0.7529220779220781,0.0,"best classifier: weka.classifiers.bayes.NaiveBayes
arguments: []",0.8253968253968255,0.8253968253968255,0.0,0.7708333333333334,0.7708333333333334,0.0,14492.0
MagicTelescope,0.8332281808622503,0.8332281808622503,0.0,,0.8288345947743826,0.8288345947743826,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.8320568493900877,0.8320568493900877,0.0,0.8332281808622503,0.8332281808622503,0.0,13065.0
arrhythmia,0.831858407079646,0.831858407079646,0.0,,0.831117287110851,0.831117287110851,0.0,"best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 100, -I, 57, -Q, -S, 1, -W, weka.classifiers.trees.LMT, --, -R, -P, -M, 8, -W, 0, -A]",0.8368560366624526,0.8368560366624526,0.0,0.831858407079646,0.831858407079646,0.0,12293.0
dataset_194_eucalyptus,0.6467391304347827,0.6467391304347827,0.0,,0.6298810607809479,0.6298810607809479,0.0,"best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 79, -I, 26, -S, 1, -W, weka.classifiers.functions.MultilayerPerceptron, --, -L, 0.9493926596778187, -M, 0.8464175687422074, -B, -H, a, -D, -S, 1]",0.647251751871317,0.647251751871317,0.0,0.6467391304347826,0.6467391304347826,0.0,13445.0
dataset_40_sonar,0.8461538461538461,0.8461538461538461,0.0,,0.8433566433566432,0.8433566433566432,0.0,"best classifier: weka.classifiers.lazy.KStar
arguments: [-B, 90, -M, d]",0.8645564961354435,0.8645564961354435,0.0,0.8461538461538461,0.8461538461538461,0.0,12021.0
dataset_54_vehicle,0.5518867924528302,0.5518867924528302,0.0,,0.529667307541843,0.529667307541843,0.0,"best classifier: weka.classifiers.lazy.LWL
arguments: [-U, 1, -A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.functions.SMO, --, -C, 1.1409131964824761, -N, 0, -K, weka.classifiers.functions.supportVector.PolyKernel -E 4.773423247182918]",0.607941256920973,0.607941256920973,0.0,0.5518867924528302,0.5518867924528302,0.0,15401.0
gina_agnostic,0.8881199538638985,0.8881199538638985,0.0,,0.8880718926679165,0.8880718926679165,0.0,"best classifier: weka.classifiers.functions.SMO
arguments: [-C, 0.7127949742291734, -N, 0, -M, -K, weka.classifiers.functions.supportVector.PolyKernel -E 1.1133446901320447 -L]",0.8881399637530223,0.8881399637530223,0.0,0.8881199538638985,0.8881199538638985,0.0,12151.0
jm1,0.8100661278471712,0.8100661278471712,0.0,,0.7631598615447479,0.7631598615447479,0.0,"best classifier: weka.classifiers.lazy.IBk
arguments: [-K, 28, -X, -I]",0.7703590001286965,0.7703590001286965,0.0,0.8100661278471712,0.8100661278471712,0.0,13316.0
kin8nm,0.822265625,0.822265625,0.0,,0.8222934677516609,0.8222934677516609,0.0,"best classifier: weka.classifiers.functions.SMO
arguments: [-C, 0.9141776780213309, -N, 2, -K, weka.classifiers.functions.supportVector.RBFKernel -G 0.32871887110328457]",0.8223464202725679,0.8223464202725679,0.0,0.822265625,0.822265625,0.0,12209.0
page-blocks,0.97954711468225,0.97954711468225,0.0,,0.97954711468225,0.97954711468225,0.0,"best classifier: weka.classifiers.meta.RandomCommittee
arguments: [-I, 16, -S, 1, -W, weka.classifiers.trees.RandomForest, --, -I, 54, -K, 0, -depth, 0]",0.97954711468225,0.97954711468225,0.0,0.97954711468225,0.97954711468225,0.0,13186.0
php0FyS2T,0.6325,0.6325,0.0,,0.6208227744477745,0.6208227744477745,0.0,"best classifier: weka.classifiers.lazy.IBk
arguments: [-K, 1, -X]",0.6832341269841271,0.6832341269841271,0.0,0.6325,0.6325,0.0,12024.0
php5s7Ep8,0.7716049382716049,0.7716049382716049,0.0,,0.7685036550315338,0.7685036550315338,0.0,"best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 100, -I, 29, -Q, -S, 1, -W, weka.classifiers.trees.J48, --, -O, -B, -A, -S, -M, 3, -C, 0.5029138856562324]",0.7704859422621175,0.7704859422621175,0.0,0.7716049382716049,0.7716049382716049,0.0,12065.0
php7KLval,0.816,0.816,0.0,,0.7896666666666666,0.7896666666666666,0.0,"best classifier: weka.classifiers.rules.JRip
arguments: [-N, 4.033830882536767, -E, -O, 2]",0.8124774535809018,0.8124774535809018,0.0,0.816,0.816,0.0,12011.0
phpCsX3fx,0.785,0.785,0.0,,0.7928218170718169,0.7928218170718169,0.0,"best classifier: weka.classifiers.bayes.NaiveBayes
arguments: []",0.850017857142857,0.850017857142857,0.0,0.785,0.785,0.0,12599.0
phpEZ030X,0.75,0.75,0.0,,0.75,0.75,0.0,"best classifier: weka.classifiers.rules.OneR
arguments: [-B, 7]",0.7738095238095237,0.7738095238095237,0.0,0.75,0.75,0.0,12056.0
