,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std
AP_Prostate_Ovary,12218.0,0.9701492537313433,0.9701492537313433,0.9701492537313433,0.9701492537313433,"best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]",0.9701492537313433,0.0,0.9701492537313433,0.0,0.9701492537313433,0.0,0.9701492537313433,0.0
Amazon,12929.0,0.49866666666666665,0.525736271136271,0.49866666666666665,0.4948851392022424,"best classifier: weka.classifiers.bayes.NaiveBayes
arguments: []",0.49866666666666665,0.0,0.525736271136271,0.0,0.49866666666666665,0.0,0.4948851392022424,0.0
aaaData_for_UCI_named,12842.0,1.0,1.0,1.0,1.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 7, -K, 4, -depth, 5]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dataset_186_satimage,13704.0,0.9160447761194029,0.9142664730569168,0.9160447761194029,0.9146748791662163,"best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 100, -I, 10, -Q, -S, 1, -W, weka.classifiers.functions.SMO, --, -C, 1.065695727267336, -N, 2, -K, weka.classifiers.functions.supportVector.Puk -S 9.862498538435307 -O 0.35601329670292925]",0.9160447761194029,0.0,0.9142664730569168,0.0,0.9160447761194029,0.0,0.9146748791662163,0.0
dataset_24_mushroom,12867.0,0.9881831610044313,0.9884548124755939,0.9881831610044313,0.9881808915507516,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.9881831610044313,0.0,0.9884548124755939,0.0,0.9881831610044313,0.0,0.9881808915507516,0.0
dataset_39_ecoli,12010.0,0.9047619047619048,0.9301587301587302,0.9047619047619048,0.9131106988249845,"best classifier: weka.classifiers.lazy.LWL
arguments: [-K, 10, -A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.trees.REPTree, --, -M, 5, -V, 0.0024806482461843375, -L, 11]",0.9047619047619048,0.0,0.9301587301587302,0.0,0.9047619047619048,0.0,0.9131106988249845,0.0
dataset_44_spambase,12906.0,0.943527367506516,0.9434498668135727,0.9435273675065161,0.9434699649982341,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 159, -K, 26, -depth, 0]",0.943527367506516,0.0,0.9434498668135727,0.0,0.9435273675065161,0.0,0.9434699649982341,0.0
dataset_61_iris,12010.0,0.9736842105263157,0.9763157894736842,0.9736842105263158,0.9739522830846216,"best classifier: weka.classifiers.functions.SMO
arguments: [-C, 1.4885424874319293, -N, 2, -K, weka.classifiers.functions.supportVector.Puk -S 4.062390843868209 -O 0.9219668075713957]",0.9736842105263157,0.0,0.9763157894736842,0.0,0.9736842105263158,0.0,0.9739522830846216,0.0
hiva_agnostic,12624.0,0.9631379962192816,0.953525760225537,0.9631379962192816,0.9552780093016628,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.057140274761388915]",0.9631379962192816,0.0,0.953525760225537,0.0,0.9631379962192816,0.0,0.9552780093016628,0.0
leukemia,12312.0,1.0,1.0,1.0,1.0,"best classifier: weka.classifiers.bayes.NaiveBayes
arguments: [-K]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
mfeat-pixel,12925.0,0.9940000000000001,0.9940395604395604,0.994,0.9939131486289433,"best classifier: weka.classifiers.functions.SMO
arguments: [-C, 0.8702344504311259, -N, 0, -M, -K, weka.classifiers.functions.supportVector.NormalizedPolyKernel -E 2.515646120944311 -L]",0.9940000000000001,0.0,0.9940395604395604,0.0,0.994,0.0,0.9939131486289433,0.0
phpWfYmlu,12446.0,0.9772972972972973,0.9774785745649126,0.9772972972972973,0.9772953867443448,"best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 57, -I, 3, -S, 1, -W, weka.classifiers.functions.SMO, --, -C, 0.9381016566772385, -N, 2, -M, -K, weka.classifiers.functions.supportVector.Puk -S 6.128063947701595 -O 0.28680614494300416]",0.9772972972972973,0.0,0.9774785745649126,0.0,0.9772972972972973,0.0,0.9772953867443448,0.0
schizo,13123.0,1.0,1.0,1.0,1.0,"best classifier: weka.classifiers.rules.OneR
arguments: [-B, 1]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
shuttle,12952.0,0.9987586206896552,0.9984150447823666,0.9987586206896552,0.9985326483779106,"best classifier: weka.classifiers.trees.REPTree
arguments: [-M, 1, -V, 9.732121077003388E-4, -L, -1, -P]",0.9987586206896552,0.0,0.9984150447823666,0.0,0.9987586206896552,0.0,0.9985326483779106,0.0
synthetic_control,12234.0,0.98,0.9802564102564103,0.98,0.9799973322662398,"best classifier: weka.classifiers.functions.MultilayerPerceptron
arguments: [-L, 0.20261562028355623, -M, 0.4107973501978015, -H, i, -C, -S, 1]",0.98,0.0,0.9802564102564103,0.0,0.98,0.0,0.9799973322662398,0.0
vowel,12016.0,1.0,1.0,1.0,1.0,"best classifier: weka.classifiers.lazy.IBk
arguments: [-K, 1, -X]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
