dataset,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1
AP_Breast_Lung,13308.0,0.9745762711864407,0.9745188676395056,0.9745762711864406,0.9744617599995209,"best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 3, -P, 0.6911532042968401, -S, 1, -W, weka.classifiers.rules.JRip, --, -N, 3.1203009230464795, -E, -O, 4]",0.9745762711864407,0.0,0.9745188676395056,0.0,0.9745762711864406,0.0,0.9744617599995209,0.0,
AP_Omentum_Ovary,14373.0,0.7826086956521741,0.7740220798691564,0.7826086956521741,0.7601945183573423,"best classifier: weka.classifiers.functions.SimpleLogistic
arguments: [-W, 0.3036505813397621]",0.7826086956521741,0.0,0.7740220798691564,0.0,0.7826086956521741,0.0,0.7601945183573423,0.0,
AirlinesCodrnaAdult,13492.0,0.6548302736275899,0.6971944887157948,0.6548302736275899,0.6497946434135937,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.6548302736275899,0.0,0.6971944887157948,0.0,0.6548302736275899,0.0,0.6497946434135937,0.0,
Amazon,13857.0,0.4986666666666666,0.525736271136271,0.4986666666666666,0.4948851392022424,"best classifier: weka.classifiers.bayes.NaiveBayes
arguments: []",0.4986666666666666,0.0,0.525736271136271,0.0,0.4986666666666666,0.0,0.4948851392022424,0.0,
connect-4,13477.0,0.7069271758436945,0.6637036715960829,0.7069271758436945,0.6539400220472215,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.7069271758436945,0.0,0.6637036715960829,0.0,0.7069271758436945,0.0,0.6539400220472215,0.0,
dataset_183_adult,12151.0,0.8455490950782082,0.8384656237980112,0.8455490950782082,0.8398098650387092,"best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]",0.8455490950782082,0.0,0.8384656237980112,0.0,0.8455490950782082,0.0,0.8398098650387092,0.0,
dataset_185_yeast,12033.0,0.5849056603773585,0.5854208642649689,0.5849056603773585,0.577152094217023,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 126, -K, 5, -depth, 0]",0.5849056603773585,0.0,0.5854208642649689,0.0,0.5849056603773585,0.0,0.577152094217023,0.0,
dataset_187_abalone,12454.0,0.2519157088122605,0.21019541629576727,0.2519157088122605,0.223480736469237,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 1.381988564319378E-7]",0.2519157088122605,0.0,0.21019541629576727,0.0,0.2519157088122605,0.0,0.223480736469237,0.0,
dataset_31_credit-g,13216.0,0.772,0.7617869062901156,0.772,0.7490583850931676,"best classifier: weka.classifiers.lazy.LWL
arguments: [-A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.functions.SimpleLogistic, --, -S, -W, 0]",0.772,0.0,0.7617869062901156,0.0,0.772,0.0,0.7490583850931676,0.0,
dataset_60_waveform-5000,12382.0,0.8615999999999999,0.8616561508695837,0.8616,0.8616026068734338,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.0885405771893914]",0.8615999999999999,0.0,0.8616561508695837,0.0,0.8616,0.0,0.8616026068734338,0.0,
