dataset,accuracy_1,accuracy_mean,accuracy_std,error_1,f1score_1,f1score_mean,f1score_std,model_1,precision_1,precision_mean,precision_std,recall_1,recall_mean,recall_std,time_1
AP_Breast_Lung,0.9745762711864406,0.9745762711864406,0.0,,0.9744617599995209,0.9744617599995209,0.0,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.35000000000000003,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_leaf=3,
           min_samples_split=7, min_weight_fraction_leaf=0.0,
           n_estimators=100, n_jobs=None, oob_score=False,
           random_state=None, verbose=0, warm_start=False))])",0.9745188676395056,0.9745188676395056,0.0,0.9745762711864406,0.9745762711864406,0.0,14430.199415445328
AP_Omentum_Ovary,0.8405797101449275,0.8405797101449275,0.0,,0.8289855072463768,0.8289855072463768,0.0,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=None, max_features=0.6500000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_le...tors=100, n_jobs=None, oob_score=False,
           random_state=None, verbose=0, warm_start=False))])",0.8412764771460424,0.8412764771460424,0.0,0.8405797101449275,0.8405797101449275,0.0,14466.584115743635
AirlinesCodrnaAdult,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,15439.681920051577
Amazon,0.7466666666666667,0.7466666666666667,0.0,,0.7373038383171,0.7373038383171,0.0,"Pipeline(memory=None,
     steps=[('binarizer', Binarizer(copy=True, threshold=0.75)), ('multinomialnb', MultinomialNB(alpha=0.1, class_prior=None, fit_prior=False))])",0.7929644608115197,0.7929644608115197,0.0,0.7466666666666667,0.7466666666666667,0.0,14405.273016929626
CovPokElec,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,14512.428869009018
GCM,0.8333333333333334,0.8333333333333334,0.0,,0.8152701465201465,0.8152701465201465,0.0,"Pipeline(memory=None,
     steps=[('pca', PCA(copy=True, iterated_power=10, n_components=None, random_state=None,
  svd_solver='randomized', tol=0.0, whiten=False)), ('logisticregression', LogisticRegression(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False))])",0.8408564814814815,0.8408564814814815,0.0,0.8333333333333334,0.8333333333333334,0.0,14507.63736796379
KDDCup99,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,14609.884369134905
MagicTelescope,0.8807570977917981,0.8807570977917981,0.0,,0.8785414294741878,0.8785414294741878,0.0,"Pipeline(memory=None,
     steps=[('polynomialfeatures', PolynomialFeatures(degree=2, include_bias=False, interaction_only=False)), ('zerocount', ZeroCount()), ('rfe', RFE(estimator=ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.15000000000000002,
      ...ors=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])",0.8808073548369805,0.8808073548369805,0.0,0.8807570977917981,0.8807570977917981,0.0,14567.678342580795
arrhythmia,0.8495575221238938,0.8495575221238938,0.0,,0.8479845789888724,0.8479845789888724,0.0,"Pipeline(memory=None,
     steps=[('variancethreshold', VarianceThreshold(threshold=0.005)), ('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=8,
              max_features=0.9000000000000001, max_leaf_nodes=None,
        ...    subsample=1.0, tol=0.0001, validation_fraction=0.1,
              verbose=0, warm_start=False))])",0.8631094915842443,0.8631094915842443,0.0,0.8495575221238938,0.8495575221238938,0.0,14624.335767507551
audiology,0.912280701754386,0.912280701754386,0.0,,0.906679213999238,0.906679213999238,0.0,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=7,
              max_features=0.05, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              m...   subsample=0.55, tol=0.0001, validation_fraction=0.1,
              verbose=0, warm_start=False))])",0.9218154080854308,0.9218154080854308,0.0,0.912280701754386,0.912280701754386,0.0,14400.647976636887
