dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
AP_Breast_Lung,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,3960.0,3960.0
AP_Omentum_Ovary,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,3960.0,3960.0
AP_Prostate_Ovary,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.0,,,,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.0,"best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]",0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.0,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.0,3096.0,3077.0,3052.0
AirlinesCodrnaAdult,0.6548302736275899,0.6548302736275899,0.6548302736275899,0.6548302736275899,0.0,,,,0.6497946434135937,0.6497946434135937,0.6497946434135937,0.6497946434135937,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.6971944887157948,0.6971944887157948,0.6971944887157948,0.6971944887157949,1.1102230246251563e-16,0.6548302736275899,0.6548302736275899,0.6548302736275899,0.6548302736275899,0.0,3529.0,3549.0,3573.0
Amazon,0.5173333333333333,0.5173333333333333,0.5173333333333333,0.5173333333333333,0.0,,,,0.5170484657642553,0.5170484657642553,0.5170484657642553,0.5170484657642553,0.0,"best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []","best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []","best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []",0.5522736781736782,0.5522736781736782,0.5522736781736782,0.5522736781736782,0.0,0.5173333333333333,0.5173333333333333,0.5173333333333333,0.5173333333333333,0.0,3571.0,3165.0,3162.0
CovPokElec,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,3960.0,3960.0
GCM,0.0,,,0.0,0.0,Timeout,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,3960.0,,
KDDCup99,0.9993036719161168,0.9993036719161168,0.9993036719161168,0.9993036719161168,0.0,,,,0.9992358316290284,0.9992358316290284,0.9992358316290284,0.9992358316290284,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.9992526964509924,0.9992526964509924,0.9992526964509924,0.9992526964509926,1.1102230246251563e-16,0.9993036719161168,0.9993036719161168,0.9993036719161168,0.9993036719161168,0.0,3273.0,3279.0,3277.0
MagicTelescope,0.8332281808622503,,,0.8332281808622503,0.0,,,,0.8288345947743826,,,0.8288345947743826,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",,,0.8320568493900877,,,0.8320568493900877,0.0,0.8332281808622503,,,0.8332281808622503,0.0,3147.0,,
aaaData_for_UCI_named,1.0,,,1.0,0.0,,,,1.0,,,1.0,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 7, -K, 4, -depth, 5]",,,1.0,,,1.0,0.0,1.0,,,1.0,0.0,3060.0,,
analcatdata_authorship,0.985781990521327,,,0.985781990521327,0.0,,,,0.9857882536857157,,,0.9857882536857157,0.0,"best classifier: weka.classifiers.functions.MultilayerPerceptron
arguments: [-L, 0.3590745945467514, -M, 0.4010009342604878, -B, -H, t, -S, 1]",,,0.9858562512515854,,,0.9858562512515854,0.0,0.985781990521327,,,0.985781990521327,0.0,3034.0,,
arrhythmia,0.8053097345132744,,,0.8053097345132744,0.0,,,,0.8028992836072482,,,0.8028992836072482,0.0,"best classifier: weka.classifiers.bayes.BayesNet
arguments: [-D, -Q, weka.classifiers.bayes.net.search.local.TAN]",,,0.8194060652698589,,,0.8194060652698589,0.0,0.8053097345132744,,,0.8053097345132744,0.0,3187.0,,
audiology,0.9298245614035088,,,0.9298245614035088,0.0,,,,0.9283208020050124,,,0.9283208020050124,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 2.2509781715920914E-5]",,,0.929766276155505,,,0.929766276155505,0.0,0.9298245614035088,,,0.9298245614035088,0.0,3282.0,,
avila-tr,0.9994249568717654,,,0.9994249568717654,0.0,,,,0.9994574016875308,,,0.9994574016875308,0.0,"best classifier: weka.classifiers.rules.DecisionTable
arguments: [-E, auc, -S, weka.attributeSelection.BestFirst, -X, 2]",,,0.9995249924327938,,,0.9995249924327938,0.0,0.9994249568717654,,,0.9994249568717654,0.0,3131.0,,
churn,0.9216,,,0.9216,0.0,,,,0.9124903157672404,,,0.9124903157672404,0.0,"best classifier: weka.classifiers.rules.JRip
arguments: [-N, 3.2535425399717908, -E, -P, -O, 4]",,,0.9183693913043476,,,0.9183693913043476,0.0,0.9216,,,0.9216,0.0,3300.0,,
cifar-10,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,3960.0,3960.0
connect-4,0.7069271758436945,0.7069271758436945,0.7069271758436945,0.7069271758436945,0.0,,,,0.6539400220472215,0.6539400220472215,0.6539400220472215,0.6539400220472215,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.6637036715960829,0.6637036715960829,0.6637036715960829,0.6637036715960829,0.0,0.7069271758436945,0.7069271758436945,0.7069271758436945,0.7069271758436945,0.0,3335.0,3330.0,3336.0
dataset_183_adult,0.8455490950782082,0.8455490950782082,0.8455490950782082,0.8455490950782082,0.0,,,,0.8398098650387092,0.8398098650387092,0.8398098650387092,0.8398098650387092,0.0,"best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]","best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]","best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]",0.8384656237980112,0.8384656237980112,0.8384656237980112,0.8384656237980112,0.0,0.8455490950782082,0.8455490950782082,0.8455490950782082,0.8455490950782082,0.0,3169.0,3179.0,3156.0
dataset_185_yeast,0.5849056603773585,0.5929919137466307,0.6091644204851752,0.5956873315363881,0.0100853298834877,,,,0.5770352522478841,0.5847439852843609,0.6011811697148839,0.5876534690823764,0.010069927327078943,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 125, -K, 5, -depth, 14]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 133, -K, 1, -depth, 20]","best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 76, -I, 111, -S, 1, -W, weka.classifiers.trees.RandomForest, --, -I, 14, -K, 1, -depth, 0]",0.5842205141865422,0.5889111238167842,0.6066377133819153,0.5932564504617472,0.00965381108439661,0.5849056603773585,0.5929919137466307,0.6091644204851752,0.5956873315363881,0.0100853298834877,3018.0,3272.0,3459.0
dataset_186_satimage,0.9135572139303484,0.9135572139303484,0.9135572139303484,0.9135572139303484,1.1102230246251563e-16,,,,0.9122558938050344,0.9122558938050344,0.9122558938050344,0.9122558938050344,0.0,"best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 56, -I, 118, -S, 1, -W, weka.classifiers.trees.J48, --, -J, -A, -M, 6, -C, 0.2814136752665706]","best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 56, -I, 118, -S, 1, -W, weka.classifiers.trees.J48, --, -J, -A, -M, 6, -C, 0.2814136752665706]","best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 56, -I, 118, -S, 1, -W, weka.classifiers.trees.J48, --, -J, -A, -M, 6, -C, 0.2814136752665706]",0.9120687854566979,0.9120687854566979,0.9120687854566979,0.9120687854566979,0.0,0.9135572139303484,0.9135572139303484,0.9135572139303484,0.9135572139303484,1.1102230246251563e-16,3200.0,3191.0,3129.0
dataset_187_abalone,0.2519157088122605,0.2662835249042146,0.2662835249042146,0.2614942528735633,0.0067730534596412645,,,,0.223480736469237,0.2344533983336664,0.2344533983336664,0.23079584437885656,0.0051725624080033615,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 4.731999203179878E-6]","best classifier: weka.classifiers.functions.SimpleLogistic
arguments: [-W, 0]","best classifier: weka.classifiers.functions.SimpleLogistic
arguments: [-W, 0]",0.21019541629576727,0.2296066286112949,0.2296066286112949,0.22313622450611906,0.00915053323957428,0.2519157088122605,0.2662835249042146,0.2662835249042146,0.2614942528735633,0.0067730534596412645,3620.0,3395.0,3036.0
