,error_1,time_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,accuracy_1,precision_1,recall_1,f1score_1,model_1,error_2,error_3
AP_Breast_Lung,,614.2717242240906,609.4780037403107,0.9661016949152542,0.9411764705882353,0.9411764705882353,0.9411764705882353,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",614.6718664169312,0.9322033898305084,0.8611111111111112,0.9117647058823529,0.8857142857142858,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9491525423728814,0.013838925100469942,0.9046840958605665,0.03306777611472882,0.9215686274509803,0.013864838846795053,0.9128851540616246,0.022656199164023713,0.9491525423728814,0.9117647058823529,0.9117647058823529,0.9117647058823528,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,
AirlinesCodrnaAdult,A pipeline has not yet been optimized. Please call fit() first.,660.0013175010681,660.0013644695282,,,,,,660.0014450550079,,,,,,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
MagicTelescope,A pipeline has not yet been optimized. Please call fit() first.,660.0012686252594,602.1721887588501,0.8609884332281809,0.8251793868232224,0.7629674306393245,0.7928549044186775,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",605.451456785202,0.8580441640378549,0.8152661962796665,0.7665862484921593,0.7901771837115327,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.8595162986330178,0.0014721345951629883,0.8202227915514444,0.004956595271777997,0.7647768395657419,0.0018094089264173996,0.791516044065105,0.0013388603535723909,,,,,,,
arrhythmia,A pipeline has not yet been optimized. Please call fit() first.,660.0025157928467,660.004444360733,,,,,,604.6978747844696,0.831858407079646,0.8208955223880597,0.8870967741935484,0.8527131782945736,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f692e16c2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.831858407079646,0.0,0.8208955223880597,0.0,0.8870967741935484,0.0,0.8527131782945736,0.0,,,,,,A pipeline has not yet been optimized. Please call fit() first.,
audiology,,600.5035018920898,600.9246406555176,0.9824561403508771,1.0,0.9473684210526315,0.972972972972973,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f65ef3792f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",600.455409526825,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f3118d4f2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9766081871345028,0.02188103734955523,0.9814814814814815,0.026189140043946214,0.9473684210526315,0.042973504259354,0.963963963963964,0.033708625106071526,0.9473684210526315,0.9444444444444444,0.8947368421052632,0.918918918918919,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f9d22c4f2f0>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,
dataset_31_credit-g,,601.7182035446167,601.6070563793182,0.72,0.71900826446281,0.9886363636363636,0.832535885167464,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f89a2d402f0>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",601.2131245136261,0.704,0.704,1.0,0.8262910798122065,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fe00e4782f0>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7079999999999999,0.008640987597877155,0.735043723163581,0.03384916566484278,0.9280303030303031,0.09385993707093841,0.815853119781956,0.019345967862218684,0.7,0.7821229050279329,0.7954545454545454,0.7887323943661972,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f4e4a7962f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,
electricity-normalized,A pipeline has not yet been optimized. Please call fit() first.,660.0013580322266,660.001277923584,,,,,,660.0016560554504,,,,,,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
gina_agnostic,,609.7551164627075,660.0013754367828,,,,,,605.4019074440002,0.8927335640138409,0.8952618453865336,0.875609756097561,0.8853267570900124,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f710f9322f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8967704728950403,0.004036908881199508,0.9053232303855745,0.010061384999040857,0.8731707317073171,0.0024390243902439046,0.8889133785450063,0.0035866214549938324,0.9008073817762399,0.9153846153846154,0.8707317073170732,0.8925000000000001,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f4c12a492f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",A pipeline has not yet been optimized. Please call fit() first.,
hiva_agnostic,,601.9016571044922,604.8583629131317,0.9640831758034026,0.5652173913043478,0.3170731707317073,0.40625,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f5620e4e2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",608.4067177772522,0.9603024574669187,0.47368421052631576,0.21951219512195122,0.3,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f62cdc1d2f0>, inv_kw_args=None,
          inverse_func=None,...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9634530560806552,0.002357692115169488,0.5770697647127853,0.0896452852938095,0.25203252032520324,0.045990684955222606,0.34652777777777777,0.04436842456934247,0.9659735349716446,0.6923076923076923,0.21951219512195122,0.3333333333333333,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1,...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,
openml_phpJNxH0q,,600.8349297046661,600.5116808414459,0.9542857142857143,0.8888888888888888,0.9824561403508771,0.9333333333333333,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degr...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",600.7015290260315,0.9714285714285714,0.9193548387096774,1.0,0.9579831932773109,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=Non...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9638095238095238,0.0071269664509979805,0.9043352107868237,0.012441330996105393,0.9941520467836257,0.00827025475071988,0.9471055088702146,0.010269289426561478,0.9657142857142857,0.9047619047619048,1.0,0.9500000000000001,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, cl...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,
