,error_1,time_1,error_2,time_2,error_3,time_3,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_2,precision_2,recall_2,f1score_2,model_2,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std
AP_Breast_Lung,A pipeline has not yet been optimized. Please call fit() first.,660.002715587616,A pipeline has not yet been optimized. Please call fit() first.,660.0010817050934,A pipeline has not yet been optimized. Please call fit() first.,660.0012698173523,,,,,,,,,,,,,,,,,,,,,,,
AirlinesCodrnaAdult,A pipeline has not yet been optimized. Please call fit() first.,660.0011835098267,A pipeline has not yet been optimized. Please call fit() first.,660.0013062953949,A pipeline has not yet been optimized. Please call fit() first.,660.0012483596802,,,,,,,,,,,,,,,,,,,,,,,
MagicTelescope,A pipeline has not yet been optimized. Please call fit() first.,660.0064539909363,A pipeline has not yet been optimized. Please call fit() first.,660.0016028881073,A pipeline has not yet been optimized. Please call fit() first.,660.0021224021912,,,,,,,,,,,,,,,,,,,,,,,
arrhythmia,A pipeline has not yet been optimized. Please call fit() first.,660.0019950866699,A pipeline has not yet been optimized. Please call fit() first.,660.0062453746796,A pipeline has not yet been optimized. Please call fit() first.,660.0062220096588,,,,,,,,,,,,,,,,,,,,,,,
audiology,,600.3134095668793,,600.678530216217,,600.3721256256104,0.9649122807017544,1.0,0.8947368421052632,0.9444444444444444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7ffac742c2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9649122807017544,0.9473684210526315,0.9473684210526315,0.9473684210526315,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f25a21c82f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9824561403508771,1.0,0.9473684210526315,0.972972972972973,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f6805f2e2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9707602339181287,0.008270254750719828,0.9824561403508771,0.024810764252159587,0.9298245614035087,0.024810764252159532,0.9549286128233497,0.012815007080458268
dataset_31_credit-g,A pipeline has not yet been optimized. Please call fit() first.,660.0011630058289,A pipeline has not yet been optimized. Please call fit() first.,660.0067164897919,A pipeline has not yet been optimized. Please call fit() first.,660.0020017623901,,,,,,,,,,,,,,,,,,,,,,,
electricity-normalized,,608.2023525238037,,608.4226281642914,,608.2329838275909,0.909427966101695,0.8949579831932774,0.8900961136648559,0.8925204274041484,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f3cc48b02f0>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9077507062146892,0.8952038875977182,0.8852904304220643,0.8902195608782435,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', Functio...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9104872881355932,0.896218487394958,0.8913497701629753,0.8937774984286612,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fa5891d22f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9092219868173258,0.0011266589994748644,0.8954601193953179,0.0005455631715267701,0.8889121047499652,0.0026115522021524906,0.8921724955703509,0.0014732101737125443
gina_agnostic,,610.7574298381805,,609.1733665466309,,605.2311842441559,0.9111880046136102,0.9193954659949622,0.8902439024390244,0.9045848822800496,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9238754325259516,0.927860696517413,0.9097560975609756,0.9187192118226603,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f7fd6f902f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9215686274509803,0.9296482412060302,0.9024390243902439,0.9158415841584159,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f806640a2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.918877354863514,0.005518146902886325,0.9256348012394685,0.004471823432967365,0.9008130081300814,0.008048369867163964,0.9130485594203752,0.0060989375192328395
hiva_agnostic,,607.4732866287231,,610.7766497135162,,609.0460033416748,0.9678638941398866,0.7333333333333333,0.2682926829268293,0.3928571428571429,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_de...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9603024574669187,0.47619047619047616,0.24390243902439024,0.3225806451612903,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7ffafdaa82f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9631379962192816,0.5625,0.21951219512195122,0.3157894736842105,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f6a931832f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9637681159420289,0.0031189335023981603,0.5906746031746032,0.10685182401479387,0.24390243902439024,0.019914550754334785,0.34374242056754795,0.03483984272539899
openml_phpJNxH0q,A pipeline has not yet been optimized. Please call fit() first.,660.0038466453552,A pipeline has not yet been optimized. Please call fit() first.,660.0053880214691,A pipeline has not yet been optimized. Please call fit() first.,660.0078830718994,,,,,,,,,,,,,,,,,,,,,,,
