,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,error_3,time_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1,error_2,accuracy_3,precision_3,recall_3,f1score_3,model_3
AP_Breast_Lung,660.0008406639099,,,,,,660.0006759166718,,,,,,,642.3143825531006,0.9745762711864406,0.0,0.9745188676395057,0.0,0.9745762711864406,0.0,0.955223880597015,0.0,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,0.9745762711864406,0.9745188676395057,0.9745762711864406,0.955223880597015,"Pipeline(memory=None,
     steps=[('maxabsscaler', MaxAbsScaler(copy=True)), ('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.35000000000000003,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_spl...imators=100, n_jobs=1, oob_score=False, random_state=None,
           verbose=0, warm_start=False))])"
AirlinesCodrnaAdult,660.0006897449493,,,,,,660.0006897449493,,,,,,A pipeline has not yet been optimized. Please call fit() first.,746.8315188884735,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,
MagicTelescope,618.4815282821655,0.8784437434279706,0.8781479461173722,0.8784437434279706,0.8150991682661547,"Pipeline(memory=None,
     steps=[('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=0.1,
       max_delta_step=0, max_depth=8, min_child_weight=7, missing=None,
       n_estimators=100, n_jobs=1, nthread=1, objective='binary:logistic',
       random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.8, verbosity=1))])",623.7674870491028,0.8786540483701367,0.8789989746427844,0.8786540483701367,0.8133290197347137,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=LogisticRegression(C=0.1, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=...a=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.6500000000000001, verbosity=1))])",A pipeline has not yet been optimized. Please call fit() first.,660.000670671463,0.8785488958990537,0.0001051524710830587,0.8785734603800783,0.0004255142627060948,0.8785488958990537,0.0001051524710830587,0.8142140940004342,0.0008850742657204869,,,,,,,
arrhythmia,603.0148718357086,0.8849557522123894,0.8948408962530597,0.8849557522123894,0.8943089430894309,"Pipeline(memory=None,
     steps=[('minmaxscaler', MinMaxScaler(copy=True, feature_range=(0, 1))), ('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=10,
              max_features=0.8500000000000001, max_leaf_nodes=None,
 ...      presort='auto', random_state=None, subsample=0.8, verbose=0,
              warm_start=False))])",601.0234839916229,0.8495575221238938,0.8758184042017412,0.8495575221238938,0.8682170542635659,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=2,
              max_features=0.35000000000000003, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
...auto', random_state=None,
              subsample=0.6000000000000001, verbose=0, warm_start=False))])",,601.9371454715729,0.8613569321533924,0.01668688569171796,0.882159234885514,0.008967288749703036,0.8613569321533924,0.01668688569171796,0.8769143505388541,0.012299834348489762,,,0.8495575221238938,0.8758184042017412,0.8495575221238938,0.8682170542635659,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=None, max_features=0.55, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=6, min_samples_split=9,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])"
audiology,601.363507270813,0.9298245614035088,0.929766276155505,0.9298245614035088,0.8666666666666666,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=MultinomialNB(alpha=0.1, class_prior=None, fit_prior=False))), ('binarizer', Binarizer(copy=True, threshold=0.25)), ('linearsvc', LinearSVC(C=5.0, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.1,
     verbose=0))])",601.1666939258575,0.9298245614035088,0.929766276155505,0.9298245614035088,0.8666666666666666,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=MultinomialNB(alpha=0.1, class_prior=None, fit_prior=True))), ('linearsvc', LinearSVC(C=1.0, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0))])",,627.6329505443573,0.9239766081871345,0.00827025475071988,0.9235757352036421,0.008754746972550494,0.9239766081871345,0.00827025475071988,0.857347670250896,0.013179051118889005,,,0.9122807017543859,0.9111946532999164,0.9122807017543859,0.8387096774193549,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=MultinomialNB(alpha=0.01, class_prior=None, fit_prior=False))), ('standardscaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('logisticregression', LogisticRegression(C=20.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False))])"
dataset_31_credit-g,601.6343195438385,0.756,0.7406110397946086,0.756,0.8415584415584416,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7efec49bd2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",609.507283449173,0.744,0.7329230769230769,0.744,0.84,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GaussianNB(priors=None))), ('onehotencoder', OneHotEncoder(categorical_features=[True, False, False, True, False, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True],
       dtype=<clas...      presort='auto', random_state=None, subsample=0.4, verbose=0,
              warm_start=False))])",,603.1692490577698,0.7546666666666667,0.008219218670625309,0.7413728484778535,0.007230311249162101,0.7546666666666667,0.008219218670625309,0.8425038147231358,0.002520563143021195,,,0.764,0.7505844287158746,0.764,0.8459530026109661,"Pipeline(memory=None,
     steps=[('variancethreshold', VarianceThreshold(threshold=0.2)), ('randomforestclassifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.3, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
  ...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])"
electricity-normalized,660.0007839202881,,,,,,625.3722584247589,0.922757768361582,0.9227090536211849,0.922757768361582,0.9083289680460974,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=8,
              max_features=0.9000000000000001, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
 ...auto', random_state=None,
              subsample=0.9500000000000001, verbose=0, warm_start=False))])",,646.2467248439789,0.9091631355932204,0.013594632768361592,0.9090951807579933,0.0136138728631916,0.9091631355932204,0.013594632768361592,0.8921428839391649,0.016186084106932563,"Estimator not fitted, call `fit` before exploiting the model.",,0.8955685028248588,0.8954813078948017,0.8955685028248588,0.8759567998322323,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=LinearSVC(C=15.0, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l1', random_state=None, tol=0.01,
     verbose=0))), ('randomforestclassifier'...mators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])"
gina_agnostic,660.0006191730499,0.9457900807381776,0.9457980926984418,0.9457900807381776,0.9433051869722556,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=6,
              max_features=0.6500000000000001, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
 ...auto', random_state=None,
              subsample=0.9500000000000001, verbose=0, warm_start=False))])",660.0008659362793,,,,,,A pipeline has not yet been optimized. Please call fit() first.,660.0007207393646,0.9457900807381776,0.0,0.9457980926984418,0.0,0.9457900807381776,0.0,0.9433051869722556,0.0,Timeout,A pipeline has not yet been optimized. Please call fit() first.,,,,,
hiva_agnostic,660.1140549182892,,,,,,615.2425231933594,0.9631379962192816,0.95251080205239,0.9631379962192816,0.20408163265306123,"Pipeline(memory=None,
     steps=[('minmaxscaler', MinMaxScaler(copy=True, feature_range=(0, 1))), ('decisiontreeclassifier', DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=9, min_samples_split=19,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,641.6544213294983,0.9621928166351607,0.000945179584120992,0.9517788851035544,0.0007319169488356758,0.9621928166351607,0.000945179584120992,0.2545831892078866,0.05050155655482532,A pipeline has not yet been optimized. Please call fit() first.,,0.9612476370510397,0.9510469681547187,0.9612476370510397,0.3050847457627119,"Pipeline(memory=None,
     steps=[('zerocount', ZeroCount()), ('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=1.0,
       max_delta_step=0, max_depth=7, min_child_weight=3, missing=None,
       n_estimators=100, n_jobs=1, nthread=1, objective='binary:logistic',
       random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.6500000000000001, verbosity=1))])"
openml_phpJNxH0q,601.136598110199,0.9542857142857143,0.9555489292491189,0.9542857142857143,0.9259259259259259,"Pipeline(memory=None,
     steps=[('pca', PCA(copy=True, iterated_power=3, n_components=None, random_state=None,
  svd_solver='randomized', tol=0.0, whiten=False)), ('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=1.0,
...a=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.25, verbosity=1))])",600.7588694095612,0.9771428571428571,0.9771428571428571,0.9771428571428571,0.9649122807017544,"Pipeline(memory=None,
     steps=[('robustscaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)), ('onehotencoder', OneHotEncoder(categorical_features=[True, True, True, True, True, True, True, True, True],
       dtype=<class 'float'>, minimum_fraction=0.1, sparse=False,
       threshold=10)), ('gaussiannb', GaussianNB(priors=None))])",,601.3757653236389,0.9580952380952382,0.01425393290199595,0.9585222013732905,0.014146964142637903,0.9580952380952382,0.01425393290199595,0.9333097052395298,0.02337942870478269,,,0.9428571428571428,0.9428748177278954,0.9428571428571428,0.9090909090909091,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.7000000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_sampl...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])"
