,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,error_2,time_2,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1,error_3,accuracy_2,precision_2,recall_2,f1score_2,model_2
electricity-normalized,1805.1933076381683,0.8817973163841808,0.8588382261086821,0.8618888424571667,0.8603608301178434,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f4f6fa0ab70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",A pipeline has not yet been optimized. Please call fit() first.,1980.0018427371979,1803.9692115783691,0.8817090395480226,0.857765780730897,0.8631424989552863,0.8604457404707353,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.8817531779661016,4.413841807909824e-05,0.8583020034197896,0.0005362226888925292,0.8625156707062265,0.0006268282490597965,0.8604032852942893,4.245517644596575e-05,,,,,,,
AirlinesCodrnaAdult,1916.060861825943,0.7781781439683801,0.8206066503088247,0.7725215059473237,0.79583840483582,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fdea8c6bb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",A pipeline has not yet been optimized. Please call fit() first.,1980.0014953613281,1906.1250956058502,0.7779924070758326,0.8204891327343761,0.7722692757009346,0.7956492898125542,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f64245f2b70>, inv_kw_args=None,
          inverse_func=None,...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.7780852755221064,9.28684462737639e-05,0.8205478915216005,5.8758787224333364e-05,0.7723953908241292,0.00012611512319454787,0.7957438473241871,9.455751163289783e-05,,,,,,,
openml_phpJNxH0q,1980.0038437843323,,,,,,A pipeline has not yet been optimized. Please call fit() first.,1980.0048425197601,1980.0018236637115,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,
gina_agnostic,1813.255154132843,0.8615916955017301,0.8372093023255814,0.8780487804878049,0.8571428571428572,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          fu...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,1814.6957819461823,1827.5473556518555,0.8500576701268743,0.8301886792452831,0.8585365853658536,0.844124700239808,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fd02350eb70>, inv_kw_args=None,
          inverse_func=None, k...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.8535178777393311,0.005728436918781734,0.8334445141433511,0.0028886631502016546,0.8626016260162602,0.011323892908279783,0.8477486148251826,0.006700279292273964,,,0.8489042675893888,0.8329355608591885,0.8512195121951219,0.8419782870928829,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontran...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])"
arrhythmia,1800.6921122074127,0.7787610619469026,0.7681159420289855,0.8548387096774194,0.8091603053435115,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at ...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,1801.1219336986542,1800.662666797638,0.7964601769911505,0.7910447761194029,0.8548387096774194,0.8217054263565892,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f315c5ddb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.7876106194690266,0.00722563345953741,0.7795241609514236,0.009360994707596743,0.8548387096774194,0.0,0.815416782361572,0.00512157471513048,,,0.7876106194690266,0.7794117647058824,0.8548387096774194,0.8153846153846154,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7efe1acebb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])"
audiology,1980.0016422271729,,,,,,A pipeline has not yet been optimized. Please call fit() first.,1980.0023691654205,1980.0051200389862,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,
AP_Breast_Lung,1836.7621612548828,0.9576271186440678,0.9393939393939394,0.9117647058823529,0.9253731343283583,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f40e8c1eb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,1832.4106681346893,1834.010725736618,0.9661016949152542,0.9411764705882353,0.9411764705882353,0.9411764705882353,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9604519774011299,0.003994953566025681,0.9399881164587048,0.0008402932634420928,0.9215686274509803,0.013864838846795053,0.9306409130816506,0.007449764156486831,,,0.9576271186440678,0.9393939393939394,0.9117647058823529,0.9253731343283583,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontran...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])"
hiva_agnostic,1813.1287741661072,0.945179584120983,0.3023255813953488,0.3170731707317073,0.30952380952380953,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7ff082ed5b70>, inv_kw_args=None,
          inverse_func=None, k...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,1813.3858978748322,1820.090428352356,0.943289224952741,0.28888888888888886,0.3170731707317073,0.3023255813953488,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f580f455b70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9439193446754883,0.0008911238578280458,0.29336778639104216,0.006334117592024203,0.3170731707317073,0.0,0.3047249907715024,0.003393277281441548,,,0.943289224952741,0.28888888888888886,0.3170731707317073,0.3023255813953488,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fb852cd2b70>, inv_kw_args=None,
          inverse_func=None, k...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])"
vowel,1980.0024452209473,,,,,,A pipeline has not yet been optimized. Please call fit() first.,1980.0013070106506,1980.0024931430817,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,
phprAeXmK,1980.0044989585876,,,,,,A pipeline has not yet been optimized. Please call fit() first.,1980.0052244663239,1843.1947662830353,0.9316110234957633,0.44831706831308504,0.48956067855589386,0.4680320199604948,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f46b1d26b70>, inv_kw_args=None,
          inverse_func=None, k...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9316110234957633,0.0,0.44831706831308504,0.0,0.48956067855589386,0.0,0.4680320199604948,0.0,A pipeline has not yet been optimized. Please call fit() first.,,,,,,
