,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,error_1,error_2,error_3
electricity-normalized,1807.8603851795197,0.9097810734463276,0.8937238493723849,0.8926034266610948,0.8931632866401841,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', Functio...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1812.0847997665405,0.9095162429378532,0.8956448558804966,0.8894692854157961,0.8925463885103261,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f410748fb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9096486581920904,0.0001324152542372392,0.8946843526264407,0.0009605032540558334,0.8910363560384454,0.0015670706226493802,0.8928548375752551,0.00030844906492899504,,,,,,,,,
AirlinesCodrnaAdult,1945.3352162837982,0.7872421043246978,0.8160734352364577,0.8001805437553101,0.8080488507865862,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f7a6019bb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1887.3951163291931,0.7873386875088225,0.8162256588034559,0.8001672684791844,0.8081166959389706,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fa0998d7b70>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7872334366030455,8.968525750432637e-05,0.8161904257915716,8.487726626778348e-05,0.7999792020674029,0.0002754064382160622,0.8080034732313358,0.0001155170224567649,1956.74569106102,0.7871195179756164,0.8162721833348014,0.7995897939677146,0.8078448729684509,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f1dbf7a3b70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,,
openml_phpJNxH0q,1980.0106041431427,,,,,,1980.0011978149414,,,,,,,,,,,,,,1980.0040934085846,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
gina_agnostic,1810.797706604004,0.903114186851211,0.9014778325123153,0.8926829268292683,0.8970588235294117,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f0f1d737b70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1815.4081726074219,0.916955017301038,0.9203980099502488,0.9024390243902439,0.9113300492610837,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f6617f9db70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9138792772010764,0.007841629394221885,0.9186286649156093,0.013340062314316815,0.8975609756097561,0.00398291015086696,0.9079372527875448,0.007871594273522572,1807.4319174289703,0.9215686274509803,0.934010152284264,0.8975609756097561,0.9154228855721392,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f1c16e60b70>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,,
arrhythmia,1980.0024285316467,,,,,,1980.0016107559204,,,,,,,,,,,,,,1980.0017583370209,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
audiology,1802.1750736236572,0.9649122807017544,1.0,0.8947368421052632,0.9444444444444444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f864234cb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1831.1154143810272,0.9649122807017544,1.0,0.8947368421052632,0.9444444444444444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fcc7411cb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9707602339181287,0.008270254750719828,1.0,0.0,0.912280701754386,0.024810764252159535,0.953953953953954,0.013448477319864304,1801.0832901000977,0.9824561403508771,1.0,0.9473684210526315,0.972972972972973,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fea520e0b70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,,
AP_Breast_Lung,1980.0022830963135,,,,,,1980.005485534668,,,,,,,,,,,,,,1980.0035395622253,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
hiva_agnostic,1811.0484607219696,0.9659735349716446,0.7272727272727273,0.1951219512195122,0.3076923076923077,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontr...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1980.0033841133118,,,,,,0.9659735349716446,0.0,0.7272727272727273,0.0,0.1951219512195122,0.0,0.3076923076923077,0.0,1980.0019493103027,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
vowel,1980.0011041164398,,,,,,1980.0016601085663,,,,,,,,,,,,,,1980.0015609264374,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
phprAeXmK,1870.9435093402863,0.9497206703910615,0.620253164556962,0.4688995215311005,0.5340599455040872,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fb747f65b70>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1905.8469169139862,0.9506428590521504,0.6325036603221084,0.469769464984776,0.5391239236241109,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f71e87bfb70>, inv_kw_args=None,
          inverse_func=Non...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.95017062717739,0.00037681128462733365,0.6254443782246862,0.005172744040738421,0.4716543424677396,0.003299929440841251,0.5377526172885198,0.0026397628378733795,1850.7608997821808,0.9501483520889578,0.6235763097949886,0.47629404088734234,0.5400739827373613,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7ff634beeb70>, inv_kw_args=None,
          inverse_func=Non...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,,
