,error_1,time_1,error_2,time_2,error_3,time_3,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_2,precision_2,recall_2,f1score_2,model_2,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std
electricity-normalized,This SVC instance is not fitted yet. Call 'fit' with appropriate arguments before using this method.,1980.0014479160309,This SVC instance is not fitted yet. Call 'fit' with appropriate arguments before using this method.,1980.0014038085938,This SVC instance is not fitted yet. Call 'fit' with appropriate arguments before using this method.,1980.001149892807,,,,,,,,,,,,,,,,,,,,,,,
AirlinesCodrnaAdult,A pipeline has not yet been optimized. Please call fit() first.,1980.0014944076538,A pipeline has not yet been optimized. Please call fit() first.,1980.0012934207916,A pipeline has not yet been optimized. Please call fit() first.,1980.0012645721436,,,,,,,,,,,,,,,,,,,,,,,
phprAeXmK,A pipeline has not yet been optimized. Please call fit() first.,1980.0015749931335,A pipeline has not yet been optimized. Please call fit() first.,1980.0015485286713,A pipeline has not yet been optimized. Please call fit() first.,1980.0014798641205,,,,,,,,,,,,,,,,,,,,,,,
MagicTelescope,Timeout,1980.00163936615,Timeout,1980.0012316703796,Timeout,1980.0011894702911,0.6601472134595163,0.9772727272727273,0.025934861278648975,0.05052878965922444,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.6601472134595163,0.9772727272727273,0.025934861278648975,0.05052878965922444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fc23d775b70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.6601472134595163,0.9772727272727273,0.025934861278648975,0.05052878965922444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fd0dc69db70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.6601472134595163,0.0,0.9772727272727272,1.1102230246251565e-16,0.02593486127864898,3.469446951953614e-18,0.05052878965922444,0.0
openml_phpJNxH0q,,1800.332040309906,,1800.4537687301636,,1800.267049074173,0.96,0.890625,1.0,0.9421487603305785,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.96,0.890625,1.0,0.9421487603305785,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f3fae779b70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.96,0.890625,1.0,0.9421487603305785,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.96,0.0,0.890625,0.0,1.0,0.0,0.9421487603305785,0.0
gina_agnostic,,1833.426208972931,,1873.8576040267944,,1832.431274652481,0.5271049596309112,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.5271049596309112,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.5271049596309112,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.5271049596309112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrhythmia,,1802.5835402011871,,1800.9364032745361,,1800.7632167339325,0.5486725663716814,0.5486725663716814,1.0,0.7085714285714285,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.5486725663716814,0.5486725663716814,1.0,0.7085714285714285,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.5486725663716814,0.5486725663716814,1.0,0.7085714285714285,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.5486725663716814,0.0,0.5486725663716814,0.0,1.0,0.0,0.7085714285714285,0.0
audiology,,1800.390611410141,,1800.4211256504059,,1800.2772569656372,0.7719298245614035,1.0,0.3157894736842105,0.4799999999999999,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.7719298245614035,1.0,0.3157894736842105,0.4799999999999999,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.7719298245614035,1.0,0.3157894736842105,0.4799999999999999,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.7719298245614036,1.1102230246251565e-16,1.0,0.0,0.3157894736842105,0.0,0.4799999999999999,0.0
AP_Breast_Lung,,1824.175622701645,,1864.805810213089,A pipeline has not yet been optimized. Please call fit() first.,1980.0010969638824,0.711864406779661,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f4c909d2b70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.711864406779661,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",,,,,,0.711864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hiva_agnostic,,1882.8571996688843,,1861.3660864830017,,1894.1579768657684,0.9612476370510397,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fc9420b6b70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9612476370510397,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9612476370510397,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9612476370510397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vowel,,1800.5976707935333,,1800.3643462657928,,1800.3293161392212,0.9959677419354839,0.9545454545454546,1.0,0.9767441860465117,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9959677419354839,0.9545454545454546,1.0,0.9767441860465117,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fe9c45dfb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9959677419354839,0.9545454545454546,1.0,0.9767441860465117,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f53da34eb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9959677419354839,0.0,0.9545454545454546,0.0,1.0,0.0,0.9767441860465117,0.0
dataset_31_credit-g,,1800.418582201004,,1802.3230357170105,,1800.4265637397766,0.704,0.704,1.0,0.8262910798122065,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.704,0.704,1.0,0.8262910798122065,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.704,0.704,1.0,0.8262910798122065,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.7040000000000001,1.1102230246251565e-16,0.7040000000000001,1.1102230246251565e-16,1.0,0.0,0.8262910798122065,0.0
