,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1,error_2,error_3
openml_phpJNxH0q,3600.5516452789307,0.9657142857142857,0.9180327868852459,0.9824561403508771,0.9491525423728813,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3601.413027524948,0.9542857142857143,0.9016393442622951,0.9649122807017544,0.9322033898305084,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3610.943437099457,0.9771428571428571,0.9344262295081968,1.0,0.9661016949152543,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degr...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9657142857142856,0.009331389496316846,0.9180327868852459,0.013385189851274211,0.9824561403508771,0.014324501419784667,0.9491525423728814,0.013838925100469987,,,
AirlinesCodrnaAdult,3960.0013706684113,,,,,,3960.001439332962,,,,,,3960.0013535022736,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
arrhythmia,3960.00173664093,,,,,,3601.4927339553833,0.7876106194690266,0.796875,0.8225806451612904,0.8095238095238094,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator-1', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureuni...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3960.0013926029205,,,,,,0.7876106194690266,0.0,0.796875,0.0,0.8225806451612904,0.0,0.8095238095238094,0.0,A pipeline has not yet been optimized. Please call fit() first.,,A pipeline has not yet been optimized. Please call fit() first.
phprAeXmK,3960.001389503479,,,,,,3960.001417160034,,,,,,3960.0013666152954,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
gina_agnostic,3656.1842935085297,0.8973471741637832,0.9083969465648855,0.8707317073170732,0.8891656288916563,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fe8366d0170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3617.540646791458,0.9181084198385236,0.9124087591240876,0.9146341463414634,0.9135200974421438,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f6094a0e170>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3660.3420543670654,0.916955017301038,0.916256157635468,0.9073170731707317,0.911764705882353,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fa66736e170>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9108035371011151,0.009526729483555435,0.9123539544414804,0.003208743505685515,0.8975609756097561,0.01920489725368736,0.9048168107387177,0.011090235037767378,,,
audiology,3600.383067846298,0.9649122807017544,1.0,0.8947368421052632,0.9444444444444444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f40ce44a170>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3600.4823660850525,0.9649122807017544,1.0,0.8947368421052632,0.9444444444444444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f55897cb170>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3600.6186633110046,0.9824561403508771,1.0,0.9473684210526315,0.972972972972973,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fbb836ad170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9707602339181287,0.008270254750719828,1.0,0.0,0.912280701754386,0.024810764252159535,0.953953953953954,0.013448477319864304,,,
electricity-normalized,3752.124228477478,0.8999823446327684,0.9001095290251917,0.8585457584621814,0.8788364880761417,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f9a4257d170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3658.0031130313873,0.8969809322033898,0.9020217729393468,0.8483075637275387,0.8743404759341014,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f879ec8b170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3654.3962230682373,0.8994526836158192,0.9015635322616163,0.8554116172168825,0.8778814195346842,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f740a07d170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8988053201506592,0.001308033825970639,0.9012316114087183,0.0008151882343963068,0.8540883131355342,0.004283184806107195,0.8770194611816424,0.0019340390287560397,,,
vowel,3601.6492490768433,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f8f5005a170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3601.23966217041,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f0cb4742170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3600.813752412796,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fe8edd6c170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,
dataset_31_credit-g,3603.2073998451233,0.696,0.7016129032258065,0.9886363636363636,0.8207547169811321,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fd865fb0170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3601.3151936531067,0.716,0.7464788732394366,0.9034090909090909,0.8174807197943446,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f1904b31170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3601.4911212921143,0.724,0.7442922374429224,0.9261363636363636,0.8253164556962025,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f97c868a170>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7120000000000001,0.011775681155103806,0.7307946713027218,0.02065392674687319,0.9393939393939394,0.03603465452734933,0.8211839641572264,0.0032132931326553462,,,
hiva_agnostic,3621.5678334236145,0.9659735349716446,0.631578947368421,0.2926829268292683,0.39999999999999997,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3608.9846415519714,0.9631379962192816,0.5454545454545454,0.2926829268292683,0.3809523809523809,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fda19ad8170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3747.3745770454407,0.9650283553875236,0.5833333333333334,0.34146341463414637,0.43076923076923085,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f0bf230b170>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9647132955261499,0.001178846057584744,0.5867889420520999,0.03524494360868054,0.30894308943089427,0.02299534247761132,0.40390720390720386,0.020524445801661306,,,
