,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1,error_2,error_3
AP_Breast_Lung,3650.7974541187286,0.9491525423728814,0.9117647058823529,0.9117647058823529,0.9117647058823528,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3655.053326368332,0.9661016949152542,0.9411764705882353,0.9411764705882353,0.9411764705882353,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f2f5355b2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3621.8461706638336,0.9491525423728814,0.9117647058823529,0.9117647058823529,0.9117647058823528,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9548022598870056,0.007989907132051364,0.9215686274509803,0.013864838846795053,0.9215686274509803,0.013864838846795053,0.9215686274509803,0.013864838846795105,,,
AirlinesCodrnaAdult,3960.0012595653534,0.7780964197356592,0.8206918931121081,0.7722095369583687,0.7957128982394702,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3803.295653820038,0.7779478302216213,0.8205598510073931,0.7720635089209855,0.7955733085278103,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fbf7996c2f0>, inv_kw_args=None,
          inverse_func=Non...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3872.3153524398804,0.7778475322996456,0.8203312860074324,0.7721697111299916,0.7955222298584115,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f90e785c2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.7779639274189755,0.00010224343099794551,0.8205276767089779,0.00014896478352176084,0.7721475856697819,6.163440012207095e-05,0.795602812208564,8.058725402693927e-05,Timeout,,
MagicTelescope,3613.012364625931,0.8100946372239748,0.7289266221952698,0.7249698431845597,0.726942848503175,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3613.541485786438,0.807570977917981,0.7255616272009715,0.7207478890229192,0.7231467473524964,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f82b464e2f0>, inv_kw_args=None,
          inverse_func=None,...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3610.633095741272,0.8067297581493165,0.7195484254307783,0.7303980699638118,0.7249326548937444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7ffb817a22f0>, inv_kw_args=None,
          inverse_func=None, k...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.8081317910970908,0.001429798671880235,0.7246788916090066,0.0038791803457578398,0.7253719340570969,0.003949916104621737,0.7250074169164719,0.0015506531971135361,,,
arrhythmia,3603.5451803207397,0.7787610619469026,0.7681159420289855,0.8548387096774194,0.8091603053435115,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fe9fcec12f0>, inv_kw_args=None,
          inverse_func=Non...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3602.7023079395294,0.7787610619469026,0.7534246575342466,0.8870967741935484,0.8148148148148148,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fed7b3c72f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3602.623099088669,0.7787610619469026,0.7761194029850746,0.8387096774193549,0.8062015503875968,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f067e20b2f0>, inv_kw_args=None,
          inverse_func=None, k...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.7787610619469026,0.0,0.7658866675161023,0.00939823091189022,0.8602150537634409,0.020116437563300744,0.8100588901819744,0.003573296522562066,,,
audiology,3960.003539800644,,,,,,3960.0010964870453,,,,,,3960.0026230812073,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
dataset_31_credit-g,3602.4668707847595,0.7,0.791907514450867,0.7784090909090909,0.7851002865329513,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', Funct...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3960.004319190979,,,,,,3678.2981522083282,0.696,0.7873563218390804,0.7784090909090909,0.7828571428571428,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fad9a3dd2f0>, inv_kw_args=None,
          inverse_func=None, k...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.698,0.0020000000000000018,0.7896319181449738,0.0022755963058933015,0.7784090909090909,0.0,0.783978714695047,0.0011215718379042339,,A pipeline has not yet been optimized. Please call fit() first.,
electricity-normalized,3608.77704000473,0.8829449152542372,0.8619246861924686,0.8608441287087338,0.8613840685762075,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontran...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3960.0048472881317,,,,,,3604.0587091445923,0.8819738700564972,0.8585984612185485,0.8627246134559131,0.860656591974987,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy a...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.8824593926553672,0.00048552259887002513,0.8602615737055086,0.00166311248696005,0.8617843710823234,0.0009402423735896392,0.8610203302755972,0.00036373830061026124,,A pipeline has not yet been optimized. Please call fit() first.,
gina_agnostic,3610.8331344127655,0.8535178777393311,0.8313817330210773,0.8658536585365854,0.8482676224611708,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f143446a2f0>, inv_kw_args=None,
          inverse_func=None, k...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3614.2798380851746,0.8592848904267589,0.8461538461538461,0.8585365853658536,0.8523002421307506,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f32559aa2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3617.068903684616,0.8408304498269896,0.8269230769230769,0.8390243902439024,0.8329297820823244,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fa1d523a2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.8512110726643599,0.007708549656195087,0.8348195520326668,0.008218660514102851,0.8544715447154472,0.011323892908279783,0.8444992155580819,0.008344832675069254,,,
hiva_agnostic,3620.133583545685,0.941398865784499,0.2765957446808511,0.3170731707317073,0.29545454545454547,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fb0b61b52f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3637.553020477295,0.943289224952741,0.27906976744186046,0.2926829268292683,0.2857142857142857,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', Funct...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",3632.714717388153,0.9395085066162571,0.2553191489361702,0.2926829268292683,0.2727272727272727,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f3c813e02f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.941398865784499,0.00154347179759496,0.2703282203529606,0.010660968240931767,0.30081300813008127,0.01149767123880566,0.2846320346320346,0.009309875830132727,,,
openml_phpJNxH0q,3960.002546072006,,,,,,3960.0043239593506,,,,,,3960.001631498337,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
