,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_3,error_1,error_2
AP_Breast_Lung,3960.0014097690582,,,,,,3960.00630068779,,,,,,3960.0065565109253,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
AirlinesCodrnaAdult,3776.5494332313538,0.7879070424000179,0.817093588379234,0.80013408028887,0.8085249090329828,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fb8438822f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3778.2888462543488,0.7876990170803646,0.8163163129300488,0.800857582837723,0.8085130620956313,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f382cd1c2f0>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3960.0013303756714,0.7875801454691342,0.8165335825697083,0.8002469201359388,0.8083082193847279,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7ff0818312f0>, inv_kw_args=None,
          inverse_func=Non...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7877287349831722,0.00013509938604781344,0.8166478279596636,0.000327442908836577,0.8004128610875106,0.0003178220509505475,0.8084487301711141,9.947377644147043e-05,Timeout,,
MagicTelescope,3960.0060892105103,,,,,,3960.0012769699097,,,,,,3960.0060544013977,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
arrhythmia,3960.0031073093414,,,,,,3960.004507303238,,,,,,3960.006571531296,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
audiology,3600.595201253891,0.9649122807017544,1.0,0.8947368421052632,0.9444444444444444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f417d9da2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3770.227383852005,0.9649122807017544,1.0,0.8947368421052632,0.9444444444444444,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f32423402f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3685.193647146225,0.9824561403508771,1.0,0.9473684210526315,0.972972972972973,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f157470e2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9707602339181287,0.008270254750719828,1.0,0.0,0.912280701754386,0.024810764252159535,0.953953953953954,0.013448477319864304,,,
dataset_31_credit-g,3960.001063108444,,,,,,3960.0062925815582,,,,,,3960.0011756420135,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
electricity-normalized,3626.584780216217,0.905808615819209,0.8913912860450431,0.8848725449226912,0.8881199538638985,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', Functio...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3609.1227073669434,0.9088983050847458,0.8944934846574191,0.8892603426661095,0.8918692372170997,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fe5fa0bf2f0>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3613.003645658493,0.9066031073446328,0.890284757118928,0.8884245716673631,0.8893536916962979,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', Functio...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9071033427495291,0.0013100182020687565,0.8920565092737966,0.0017814298248632308,0.887519153085388,0.0019022844802545939,0.8897809609257653,0.0015601710721338817,,,
gina_agnostic,3613.2529304027557,0.9077277970011534,0.9044117647058824,0.9,0.902200488997555,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          fu...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3619.0093076229095,0.922722029988466,0.9276807980049875,0.9073170731707317,0.9173859432799014,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f6a06a762f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3611.2711267471313,0.922722029988466,0.9341772151898734,0.9,0.9167701863354037,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at ...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9177239523260283,0.007068349216013185,0.9220899259669144,0.012778599251308444,0.9024390243902439,0.0034493013716416984,0.9121188728709534,0.007017860222258687,,,
hiva_agnostic,3627.3666038513184,0.9640831758034026,0.6,0.21951219512195122,0.32142857142857145,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3618.17728805542,0.9650283553875236,0.6111111111111112,0.2682926829268293,0.37288135593220345,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontran...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",3609.342625141144,0.9631379962192816,0.5714285714285714,0.1951219512195122,0.29090909090909095,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', Funct...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9640831758034025,0.00077173589879748,0.5941798941798943,0.016714887829556976,0.22764227642276422,0.030419978754259693,0.3284063394232886,0.03382681375177511,,,
openml_phpJNxH0q,3960.001107931137,,,,,,3960.002252101898,,,,,,3613.0447342395782,0.96,0.9807692307692307,0.8947368421052632,0.9357798165137614,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.96,0.0,0.9807692307692307,0.0,0.8947368421052632,0.0,0.9357798165137614,0.0,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.
