,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1,error_3
electricity-normalized,3640.622733592987,0.9178142655367232,0.9051923481185621,0.8997074801504388,0.9024415802158651,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.4,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=1,
            min_samples_split=9, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])",3671.761957168579,0.9199329096045198,0.90805806858826,0.9017969076473047,0.9049166579306006,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=BernoulliNB(alpha=10.0, binarize=0.0, class_prior=None, fit_prior=True))), ('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.8,
            max...mators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])",3671.392212152481,0.9113700564971752,0.8944513975803087,0.8959465106560802,0.8951983298538623,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=9,
              max_features=0.6000000000000001, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_lea...='auto', random_state=None,
              subsample=0.6000000000000001, verbose=0, warm_start=False))), ('gaussiannb', GaussianNB(priors=None))])",0.9163724105461394,0.00364141206080772,0.9025672714290436,0.005856827622473098,0.8991502994846079,0.002420691906530568,0.9008521893334427,0.004123598564734917,,
AirlinesCodrnaAdult,3960.000835418701,,,,,,,,,,,,,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,
openml_phpJNxH0q,3601.8130435943604,0.96,0.9310344827586207,0.9473684210526315,0.9391304347826087,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=10,
              max_features=0.3, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=No...          pooling_func=<function mean at 0x7fae7e39d598>)), ('gaussiannb', GaussianNB(priors=None))])",3600.7995307445526,0.9828571428571429,0.95,1.0,0.9743589743589743,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f5c25eceb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...a=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.25, verbosity=1))])",3601.631903409958,0.9714285714285714,0.9482758620689655,0.9649122807017544,0.9565217391304347,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.01, loss='deviance', max_depth=8,
              max_features=0.7500000000000001, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_im...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9714285714285714,0.00933138949631689,0.9431034482758621,0.008563025532041002,0.9707602339181286,0.02188103734955523,0.9566703827573392,0.014382375125287995,,
gina_agnostic,3699.2053496837616,0.9457900807381776,0.9394673123486683,0.9463414634146341,0.9428918590522479,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=6,
              max_features=0.25, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              m...      presort='auto', random_state=None, subsample=0.8, verbose=0,
              warm_start=False))])",3669.3970623016357,0.9342560553633218,0.91725768321513,0.9463414634146341,0.9315726290516205,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.1,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=7,
            min_samples_split=14, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])",3657.5792548656464,0.9480968858131488,0.9418886198547215,0.948780487804878,0.945321992709599,"Pipeline(memory=None,
     steps=[('selectpercentile', SelectPercentile(percentile=49,
         score_func=<function f_classif at 0x7f527613dbf8>)), ('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=9,
              max_fe...auto', random_state=None,
              subsample=0.9500000000000001, verbose=0, warm_start=False))])",0.942714340638216,0.006054600441377782,0.9328712051395066,0.011084590886209523,0.9471544715447154,0.001149767123880566,0.9399288269378226,0.005991433870294735,,
arrhythmia,3726.1413159370422,0.831858407079646,0.8208955223880597,0.8870967741935484,0.8527131782945736,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.3,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])",3611.0793051719666,0.7876106194690266,0.8064516129032258,0.8064516129032258,0.8064516129032258,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fb25d89cb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...auto', random_state=None,
              subsample=0.7000000000000001, verbose=0, warm_start=False))])",3694.3036439418793,0.7876106194690266,0.7714285714285715,0.8709677419354839,0.8181818181818182,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.2, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=13,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",0.8023598820058998,0.0208586071146474,0.7995919022399524,0.020769152319324847,0.8548387096774194,0.034842691926924,0.8257822031265393,0.019635978824519108,,
audiology,3600.816388607025,0.9298245614035088,0.8947368421052632,0.8947368421052632,0.8947368421052632,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=BernoulliNB(alpha=0.01, binarize=0.0, class_prior=None, fit_prior=False))), ('linearsvc', LinearSVC(C=0.5, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='hinge', max_iter=1000, multi_class='ovr',
     penalty='l2', random_state=None, tol=1e-05, verbose=0))])",3618.655262231827,0.9298245614035088,0.8947368421052632,0.8947368421052632,0.8947368421052632,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=BernoulliNB(alpha=0.01, binarize=0.0, class_prior=None, fit_prior=True))), ('linearsvc', LinearSVC(C=15.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='hinge', max_iter=1000, multi_class='ovr',
     penalty='l2', random_state=None, tol=1e-05, verbose=0))])",3601.110430955887,0.9298245614035088,0.8947368421052632,0.8947368421052632,0.8947368421052632,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=BernoulliNB(alpha=0.01, binarize=0.0, class_prior=None, fit_prior=True))), ('linearsvc', LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='hinge', max_iter=1000, multi_class='ovr',
     penalty='l2', random_state=None, tol=1e-05, verbose=0))])",0.9298245614035089,1.1102230246251565e-16,0.8947368421052632,0.0,0.8947368421052632,0.0,0.8947368421052632,0.0,,
AP_Breast_Lung,3634.1280558109283,0.9661016949152542,0.96875,0.9117647058823529,0.9393939393939394,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fa9c4fbdb70>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...ty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False))])",3617.125473499298,0.9661016949152542,0.96875,0.9117647058823529,0.9393939393939394,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=8,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=9, min_samples_split=1...ty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False))])",3960.0007197856903,,,,,,0.9661016949152542,0.0,0.96875,0.0,0.9117647058823529,0.0,0.9393939393939394,0.0,,A pipeline has not yet been optimized. Please call fit() first.
hiva_agnostic,3663.6538009643555,0.9697542533081286,0.8,0.2926829268292683,0.4285714285714285,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=MultinomialNB(alpha=10.0, class_prior=None, fit_prior=True))), ('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=4,
              max_feat...      presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False))])",3739.529657125473,0.9612476370510397,0.5,0.34146341463414637,0.40579710144927533,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.1, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=6, min_s...ha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.2, verbosity=1))])",3643.8735167980194,0.9678638941398866,0.7692307692307693,0.24390243902439024,0.37037037037037035,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.3, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=12,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",0.9662885948330183,0.0036470815698772326,0.6897435897435898,0.1347557265997017,0.2926829268292683,0.03982910150866957,0.40157963346369135,0.02394690058007241,,
vowel,3602.797886133194,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('rbfsampler', RBFSampler(gamma=0.05, n_components=100, random_state=None)), ('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f900e2d0b70>, inv_kw_args=None,
          inverse_...imators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",3603.5649564266205,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=2, p=2,
           weights='uniform'))), ('logisticregression', LogisticRegression(C=15.0, class_weight=None, dual=Tr...ty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False))])",3602.6585416793823,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('kneighborsclassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=2, p=2,
           weights='distance'))])",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,
phprAeXmK,3960.0007989406586,,,,,,3809.029252052307,0.9541177728475582,0.7091561938958707,0.4295345802522836,0.5350128673980766,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=8,
              max_features=0.1, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              mi...     presort='auto', random_state=None, subsample=0.05, verbose=0,
              warm_start=False))])",,,,,,,0.9541177728475582,0.0,0.7091561938958707,0.0,0.4295345802522836,0.0,0.5350128673980766,0.0,A pipeline has not yet been optimized. Please call fit() first.,
