dataset	classifier	accuracy	precision	recall	f1score	metric	time_budget	full	methods
phpZrCzJR	 adaboost	0.9937254901960785	0.9937652652186072	0.9937254901960785	0.9968203497615262	binary	10	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
phpZrCzJR	 random_forest	0.9913725490196078	0.9914478083065106	0.9913725490196078	0.9956192751891677	binary	10	False	['decision_tree', 'random_forest', 'libsvm_svc']
phpZrCzJR	 decision_tree	0.9898039215686274	0.9890345471521942	0.9898039215686274	0.9948351211760033	binary	10	False	['decision_tree']
phpZrCzJR	 random_forest	0.9898039215686274	0.9900891325353475	0.9898039215686274	0.9948269001193791	binary	10	False	['random_forest']
phpZrCzJR	 libsvm_svc	0.9929411764705882	0.9924400871459694	0.9929411764705882	0.9964214711729622	binary	10	False	['libsvm_svc']
phpZrCzJR	 libsvm_svc	0.9921568627450981	0.9927055082764425	0.9921568627450981	0.9960285941223194	binary	30	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
phpZrCzJR	 random_forest	0.9929411764705882	0.9925272851118702	0.9929411764705882	0.9964129135113592	binary	30	False	['decision_tree', 'random_forest', 'libsvm_svc']
phpZrCzJR	 decision_tree	0.9937254901960785	0.9933482845084022	0.9937254901960785	0.9968178202068416	binary	30	False	['decision_tree']
phpZrCzJR	 random_forest	0.9913725490196078	0.9908402030645989	0.9913725490196078	0.9956297179181565	binary	30	False	['random_forest']
phpZrCzJR	 libsvm_svc	0.9905882352941177	0.9905882352941177	0.9905882352941177	0.9952380952380953	binary	30	False	['libsvm_svc']
phpZrCzJR	 lda	0.9921568627450981	0.9915144487612649	0.9921568627450981	0.9960254372019078	binary	60	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
phpZrCzJR	 libsvm_svc	0.9929411764705882	0.9925708928989921	0.9929411764705882	0.9964071856287425	binary	60	False	['decision_tree', 'random_forest', 'libsvm_svc']
phpZrCzJR	 decision_tree	0.9913725490196078	0.9914477486715764	0.9913725490196078	0.9956227616394747	binary	60	False	['decision_tree']
phpZrCzJR	 random_forest	0.9945098039215686	0.9942016363156506	0.9945098039215686	0.997223324077747	binary	60	False	['random_forest']
phpZrCzJR	 libsvm_svc	0.996078431372549	0.9958244277173746	0.996078431372549	0.9980229339659945	binary	60	False	['libsvm_svc']
phpZrCzJR	 decision_tree	0.9929411764705882	0.9924268774703557	0.9929411764705882	0.9964328180737219	binary	10	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
phpZrCzJR	 decision_tree	0.9874509803921568	0.9874509803921568	0.9874509803921568	0.9936254980079682	binary	10	False	['decision_tree', 'random_forest', 'libsvm_svc']
phpZrCzJR	 decision_tree	0.9945098039215686	0.9939962209212279	0.9945098039215686	0.9972321075523923	binary	10	False	['decision_tree']
phpZrCzJR	 random_forest	0.9937254901960785	0.9932286342657126	0.9937254901960785	0.9968329374505146	binary	10	False	['random_forest']
phpZrCzJR	 libsvm_svc	0.9913725490196078	0.9904169965690155	0.9913725490196078	0.9956366521221738	binary	10	False	['libsvm_svc']
phpZrCzJR	 random_forest	0.9905882352941177	0.9896726448716753	0.9905882352941177	0.9952305246422893	binary	30	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
phpZrCzJR	 decision_tree	0.9913725490196078	0.9903135704874835	0.9913725490196078	0.9956401109789934	binary	30	False	['decision_tree', 'random_forest', 'libsvm_svc']
